Accademie e Biblioteche d'Italia	ABI
Mallorn: The Journal of the Tolkein Society	Mallorn
Mana	Mana
The Mankind Quarterly	ManQ
Manscriptum: Revista Trimestriala Editata de Muzeul Literaturii Române	Manscriptum
Manuscripta	Manuscripta
Manuscripts	MSS
Marbacher Magazin	MarM
Marianum	Marianum
Mark Twain Journal	MTJ
Maske und Kothurn: Internationale Beiträge zur Theaterwissenschaft	MuK
Massachusetts Review: A Quarterly of Literature, the Arts and Public Affairs	MR
Matatu: Journal for African Culture and Society	Matatu
Material Culture: Journal of the Pioneer American Society	MCul
Mawazo: The Makerere Journal of the Faculties of Arts and Social Sciences	Mawazo
Meanjin	Meanjin
Mededelingen der Koninklijke Nederlandse Akademie van Wetenschappen, Afdeling Letterkunde, Nieuwe Reeks	MKNAL
Mededelingen van de Nijmeegse Centrale voor Dialect- en Naamkunde	MNCDN
Mediaeval Scandinavia	MScan
Mediaeval Studies	MS
Mediaevalia: A Journal of Mediaeval Studies	Mediaevalia
Medieval & Renaissance Drama in England: An Annual Gathering of Research, Criticism and Reviews	MRDE
Medieval & Renaissance Texts & Studies	MRTS
Medievalia et Humanistica: Studies in Medieval and Renaissance Culture	M&H
Medium Ævum	MÆ
Memoirs of the Research Department of the Toyo Bunko	MRD
Memory & Cognition	M&C
Menckeniana: A Quarterly Review	Menckeniana
Merkur: Deutsche Zeitschrift für europäisches Denken	Merkur
Mester	Mester
Meta: Journal des Traducteurs/Translators' Journal	Meta
Metmenys	Metmenys
Michigan Academician	MichA
Michigan Quarterly Review	MQR
Mid-American Review	MARev
Midamerica: The Yearbook of the Society for the Study of Midwestern Literature	Midamerica
Midwest Quarterly: A Journal of Contemporary Thought	MQ
Midwestern Miscellany	MMisc
Milton Quarterly	MiltonQ
Milton Studies	MiltonS
Minas Gerais, Suplemento Literário	MGSL
Mind: A Quarterly Review of Philosophy	Mind
The Minnesota Review	MinnR
Minos: Revista de Filologia Egea	Minos
Miscellanea Mediaevalia	MiscMed
Mississippi Quarterly: The Journal of Southern Culture	MissQ
Missouri Folklore Society Journal	MFSJ
The Missouri Review	MissR
Mitteilungen der Deutschen Orient-Gesellschaft zu Berlin	MDOG
Mitteilungen der E.T.A. Hoffmann-Gesellschaft-Bamberg e.V.	MHG
Mitteilungen des Verbandes deutscher Anglisten	MVdA
Mitteilungen und Forschungsbeiträge der Cusanus-Gesellschaft	MFCG
Mittellateinisches Jahrbuch: Internationale Zeitschrift für Mediävistik/International Journal of Medieval Studies/Revue Internationale des Etudes Médiévales/Rivista Internazionale di Studi Medievali	MitJ
Mladika	Mladika
MLN	MLN
Mnemosyne: Bibliotheca Classica Batava	Mnemosyne
Mnemosyne: Etesion Periodikon tes Hetaireias Historikon Spoudon epi tou Neoterou Hellenismou	MnemosyneA
Modern Age: A Quarterly Review	ModA
Modern Austrian Literature	MAL
Modern Chinese Literature	MCL
Modern Drama	MD
Modern Fiction Studies	MFS
Modern Hebrew Literature	MHL
Modern Humanities Research Association Texts and Dissertations Series	MHRADS
The Modern Language Journal	MLJ
Modern Language Quarterly	MLQ
The Modern Language Review	MLR
Modern Language Studies	MLS
Modern Phililogy: A Journal Devoted to Research in Medieval and Modern Literature	MP
Moderna Språk (Stockholm)	MSpr
Mogucnosti: Knjizevnost, Umjetnost, Kulturni Problemi	Mogucnosti
Monatshefte: für Deutschen Unterricht, Deutsche Sprache und Literatur	Monatshefte
Monographs in International Studies, Africa Series. Ohio University Center for International Studies	MSAS
Monographs in International Studies, Southeast Asia Series. Ohio University Center for International Studies	PSSEAS
Monographs in Modern Languages	MML
Monumenta Nipponica	MN
Moreana: Bulletin Thomas More	Moreana
Mosaic: A Journal for the Interdisciplinary Study of Literature	Mosaic
Mostovi	Mostovi
Mount Olive Review	MOR
Movoznavstvo: Naukovo-Teoretychnyi Zhurnal Viddilennia Literatury, Movy i Mystetstvoznavstva Akademii Nauk Ukraine	Mov
Le Moyen Âge: Revue d'Histoire et de Philologie	MA
Moznayim: Yarhon Agudat ha-Soferim ha-'Ivrim be-Medinat Yisrael/Monthly of the Association of Hebrew Writers in Israel	Moznayim
Münchener Beiträge zur Mediävistik u. Renaissance-Forschung	MBMRF
Münchener Studien zur Sprachwissenschaft	MSzS
Münchener Texte und Untersuchungen zur Deutschen Literatur des Mittelalters	MTUDLM
Naamkunde	Nku
Names: Journal of the American Name Society	Names
Narodna Tvorchist' ta Etnohrafiia	NTE
Narodna Umjetnost	NUm
Narodno Stvaralastvo. Folklor	NStv
Nas Jezik	NJe
Nase Rec	NRec
Nash Sovremennik: Literaturno-Khudozhestvennyi i Obshchestvenno-Politicheskii Zhurnal	NSov
Nashriyye(h)-ye Daneshkade(h)-ye Adabiyyat va Olum-e Ensani-ye Tabriz	NDAT
The Nassau Review: The Journal of Nassau Community College Devoted to Arts, Letters, and Sciences	NR
The Nathaniel Hawthorne Review	NHR
Nationalities Papers	NatP
Natural Language & Linguistic Theory	NL&LT
Naucni Sastanak Slavista u Vukove Dane	NSSVD
Nea Poreia	NP
Negative Capability	NegCap
Neohelicon: Acta Comparationis Litterarum Universarum	Neohelicon
Neophililogus	Neophil
Neue Rundschau	NRs
Neue Sammlung: Vierteljahres-Zeitschrift für Erziehung und Gesellschaft	NSammlung
Neuphilologische Mitteilungen: Bulletin de la Société Néophilologique/Bulletin of the Modern Language Society	NM
Neusprachliche Mitteilungen aus Wissenschaft und Praxis	NsM
Neva	Neva
The New Criterion	NewC
The New England Quarterly: A Historical Review of New England Life and Letters	NEQ
New England Review	NERMS
New England Theatre Journal	NETJ
New German Critique: An Interdisciplinary Journal of German Studies	NGC
New Letters	NewL
New Literary History: A Journal of Theory and Interpretation	NLH
New Mexico Humanities Review	NMHR
New Orleans Review	NOR
New Quest	Quest
New Scholar: An Americanist Review	NewS
New Theatre Quarterly	NTQ
The New Welsh Review	NWRev
The New York Review of Books	NYRB
The Newberry Library Center for the History of the American Indian Bibliographical Series	NLCHAIBS
Newsletter of the American Dialect Society	NADS
Niederdeutsched Wort: Beiträge zur Niederdeutschen Philologie	NdW
Niederdeutsches Jahrbuch: Jahrbuch des Vereins für Niederdeutsche Sprachforschung	NJ
Nietzsche Studien: Internationales Jahrbuch für die Nietzsche-Forschung	NietzscheS
Nineteenth-Century Contexts	NCC
Nineteenth-Century French Studies	NCFS
Nineteenth-Century Literature	NCF
Nineteenth-Century Prose	NCP
Nineteenth Century Theatre	NCTR
Nord Nytt: Nordisk Tidsskrift for Folkelivsforskning	NNy
Nordelbingen: Beiträge zur Kunst- und Kulturgeschichte	Nordelbingen
Nordfriesisches Jahrbuch	NFJ
Nordic Journal of Linguistics	NJL
Nordlyd: Tromsø University Working Papers on Language & Linguistics	Nordlyd
Norsk Lítterær Årbok	NLÅ
Norte: Revista Hispano-Americana	Norte
North Carolina Folklore Journal	NCarF
North Carolina Historical Review	NCHR
North Carolina Studies in Romance Languages and Literatures	UNCSRLL
North Dakota Quarterly	NDQ
North-Holland Linguistic Series	NHLS
Northeast Folklore	NoEF
Northwest Ohio Quarterly	NOQ
Northwest Review	NWR
Norwegian-American Studies	NAS
Notes and Queries	N&Q
Notes on Linguistics	NLing
Notes on Translation	NOT
Notre Librairie: Revue du Livre: Afrique, Caraïbes, Océan Indien	NLib
Nottingham French Studies	NFS
Nottingham Medieval Studies	NMS
Nouvelle Revue Française	NRF
Novel: A Forum on Fiction	Novel
Novyi Zhurnal/The New Review	NovZ
Now and Then	N&T
Nowi Dni	Nowi Dni
Nueva Revisita de Filología Hispánica	NRFH
Nuovi Argomenti	NArg
Nyelvtudományi Közlemények	NK
Objects et Mondes: La Revue du Musée de l'Homme	OM
Obsidian II: Black Literature in Review	Obsidian II
Occasional Papers on Linguistics	OPLing
Oceania	Oceania
Oceanic Linguistics Special Publications	OLSP
October	October
Odra	Odra
Odù: A Journal of West African Studies	Odù
Oeuvres & Critiques: Revue Internationale d'Etude de la Réception Critique d'Etude des Oeuvres Littéraires de Langue Française	O&C
Ogam: Tradition Celtique	Ogam
The Ohio Review	OhR
Okike: An African Journal of New Writing	Okike
Oklahoma Project for Discourse and Theory	OPDT
Oktiabr': Literaturno-Khudozhestvennyi i Obshchestvenno-Politicheskii Zhurnal	Okt
Old English Newsletter	OENews
The Old Northwest: A Journal of Regional Life and Letters	ON
Olifant: A Publication of the Société Rencesvals, American-Canadian Branch	Olifant
Onoma: Bibliographical and Information Bulletin	Onoma
Onomastica: Pismo Poswiecone Nazewnictwu Geograficznemu i Osobowemu	Onomastica
Ons Erfdeel: Algemeen-Nederlands Tweemaandelijks Cultureel Tijdschrift	OnsE
Ons Geestelijk Erf: Driemaandelijks Tijdschrift voor de Geschiedenis van de Vroomheid in de Nederlanden	OGE
Onsei Gakkai Kaihô [Bulletin of the Phonetic Society of Japan]	OGK
Ontario Review	OntarioR
The Oral History Review: Journal of the Oral History Association	OralHR
Oral History: The Journal of the Oral History Society	OralH
Oral Tradition	OT
Orbis Litterarum: International Review of Literary Studies	OL
Ord och Bild	OB
Orientalia Suecana	OS
Orizont: Revista a Uniunii Scriitorilor din Republica Socialista România	Orizont
Ortnamnssällskapets i Uppsala Årsskrift	OUÅ
Osmayor: Graduate Student Review	Osmayor
Overland	Overland
Oxford German Studies	OGS
The Oxford Literary Review	OLR
Oxford Slavonic Papers	OSP
Pacific Coast Philology	PCP
Paideia (Buffalo, New York)	PaideiaFS
Paideia: Rivista Letteraria di Informazione Bibliografica	Paideia
Paideuma: A Journal Devoted to Ezra Pound Scholarship	Paideuma
Paintbrush: A Journal of Poetry, Translations, and Letters	Paintbrush
La Palabra y el Hombre: Revista de la Universidad Veracruzana	PH
Palimpsest	Palimpsest
Pamietnik Literacki: Czasopismo Kwartalne Poswiecone Historii i Krytyce Literatury Polskiej	PL
Pamietnik Slowianski	PaSlow
Pamietnik Teatralny: Kwartalnik Poswiecony Historii I Krytyce Teatru	PaT
Panjab University Research Bulletin (Arts)	PURBA
Papers and Studies in Contrastive Linguistics	PSCL
Papers of the Bibliographical Society of America	PBSA
Papers of the Bibliographical Society of Canada/Cahiers de la Société Bibliographique du Canada	PBSC
Papers on French Seventeenth Century Literature	PFSCL
Papers on Language and Literature: A Journal for Scholars and Critics of Language and Literature	PLL
Papiere zur Textlinguistik/Papers in Textlinguistics	PText
Parabola: The Magazine of Myth and Tradition	Parabola
Parnasso	Parnasso
Parnassos: Philologikon Periodikon/Literary Journal of the Parnassos Literary Society	ParnassosL
Parnassus: Poetry in Review	Parnassus
Partisan Review	PR
PASAA: The Journal of Language Teaching and Learning in Thailand	PASAA
Patma-Banasirakan Handes: Istoriko-Filologiceskii Zhurnal	PBH
Pennsylvania Folklife	PF
Pennsylvania Magazine of History and Biography	PMHB
La Pensée: Revue du Rationalisme Moderne	Pensée
Pequod: A Journal of Contemporary Literature and Literary Criticism	Pequod
Perception & Psychophysics	P&P
Perceptual and Motor Skills	PMS
Performing Arts Journal	PArtsJ
Performing Arts Resources	PAR
Peritia: Journal of the Medieval Academy of Ireland	Peritia
Personhistorisk Tidskrift	PHT
Persuasions: Journal of the Jane Austen Society of North America	Persuasions
Philippine Sociological Review	PhSR
Philippine Studies	PSM
Philobiblon: Eine Vierteljahrsschrift für Buch- und Graphiksammler	Philobiblon
Philological Quarterly	PQ
Philologike Kypros	PK
Philologus: Zeitschrift für Klassische Philologie	PZKA
The Philosophical Quarterly	PhQ
Philosophical Review	PhR
Philosophical Studies: An International Journal for Philosophy in the Analytic Tradition	PhS
Philosophisches Jahrbuch der Görres-Gesellschaft (Friberg, FRG)	PJGG
Philosophy and Literature	P&L
Philosophy and Phenomenological Research	PPR
Philosophy and Rhetoric	P&R
Philosophy East and West: A Quarterly of Comparative Philosophy	PE&W
Phoenix	PhoenixK
Phoenix: The Journal of the Classical Association of Canada/Revue de la Société Canadienne des Etudes Classiques	PhoenixC
Phonetica: International Journal of Speech Science	Phonetica
Phylon: A Review of Race and Culture	Phylon
Ploughshares	Ploughshares
Plural: Revista Cultural de Excelsior	Plural
PMLA: Publications of the Modern Language Association of America	PMLA
PN Review	PNR
Pneumatike Kypros	PKy
Po&sie	Po&sie
Poe Studies: Dark Romanticism: History, Theory, Interpretation	PoeS
Poetica: Zeitschrift für Sprach- und Literaturwissenschaft	Poetica
Poetics: Journal for Empirical Research on Literature, the Media and the Arts	PoeticsJ
Poetics Today	PoT
Post Script: Essays in Film and the Humanities	PostS
Postmodern Culture: An Electronic Journal of Interdisciplinary Criticism	PMC
Postmodern Studies	PmdnS
The Powys Review	PRev
Prace Jezykoznawcze	PANPJ
Prace Komisji Jezykoznawstwa	PKJ
Prace Komisji Slowianoznawstwa	PANPKS
Pragmatics: Quarterly Publication of the International Pragmatics Association	Pragmatics
Prague Bulletin of Mathematical Linguistics	PBML
Prapor: Literaturno-Khudozhnii ta Hromads'ko-Politychnyi Zhurnal	Prapor
Pre/Text: A Journal of Rhetorical Theory	Pre/Text
Proceedings of the Leeds Philosophical and Literary Society, Literary & Historical Section	PLPLS-LHS
Proceedings of the Massachusetts Historical Society	PMHS
Proceedings & Transactions Royal Society of Canada	PTRSC
Profession	Profession
Promeny	Promeny
Prooftexts: A Journal of Jewish Literary History	Prooftexts
Prose Studies: History, Theory, Criticism	PSt
Prospects: An Annual Journal of American Cultural Studies	Prospects
Psychiatry: Interpersonal and Biological Processes	Psychiatry
Psychological Bulletin	PsyB
Psychological Review	PsychologR
Public Culture: Bulletin of the Society for Transnational Cultural Studies	PubCult
Publication of the American Dialect Society	PADS
Publications of the Mississippi Philological Association	POMPA
Publications of the Philogical Society	PPS
Publications of the Texas Folklore Society	PTFS
Publications Romanes et Françaises	PRF
Publishing History: The Social, Economic and Literary History of Book, Newspaper and Magazine Publishing	PubHist
Publishing Research Quarterly	PRQ
Quaderni d'Italianistica: Official Journal of the Canadian Society for Italian Studies	QI
Quaderni del Dipartimento di Lingue e Letterature Straniere Moderne, Universita di Genova	QDLLSM
Quaderni di Filologia Germanica della Facoltà di Lettere e Filosofia dell'Università di Bologna	QFG
Quaderni Ibero-Americani: Attualità Culturale della Penisola Iberica e America Latina	QIA
Quaderni Veneti	QVen
Quadrant (Australia)	Quadrant (Australia)
Quantitative Linguistics	QLing
The Quarterly Journal of Speech	QJS
Quarterly Review of Film and Video	QRFV
Queen's Quarterly	QQ
Queensland Studies in German Language and Literature	QSGLL
Quellen und Forschungen zur Sprach- und Kulturgeschichte der Germanischen Völker	QFSK
Qui Parle: A Journal of Literary and Critical Studies	QPar
Quimera: Revista de Literatura	Quimera
La Quinzaine Littéraire	QL
Quondam et Futurus: A Journal of Arthurian Interpretation	Q&F
Raduga	Raduga
Rajasthan University Studies in English	RUSEng
Rare Books & Manuscripts Librarianship	RBML
Raritan: A Quarterly Review	Raritan
Rassegna della Letteratura Italiana	RLI
Rassegna Italiana di Linguistica Applicata	RILA
Rassegna Storica del Risorgimento	RSR
Razgledi: Spisanie za Literatura Umetnost i Kultura	Razgledi
Razón y Fe: Revista Hispanoamericana de Cultura	RyF
RE Arts & Letters: A Liberal Arts Forum	REAL
Reading and Writing: An Interdisciplinary Journal	R&W
Reading Psychology: An International Quarterly	RPsych
Reading Research Quarterly	RRQ
Recherches Anglaises et Nord-Américaines	RANNAM
Recherches de Science Religieuse	RechSR
Recherches Germaniques	RGer
Recherches sur Diderot et sur l'Encyclopédie	RDidE
Recherches sur le Français Parlé	RFP
Records of Early English Drama Newsletter	REEDN
Regensburger Beiträge zur Deutschen Sprach- und Literaturwissenschaft. Reihe B: Untersuchungen	RBSL
Regional Language Studies-Newfoundland	RLS
Reihe Siegen: Beiträge zur Literatur-, Sprach- und Medienwissenschaft	RSieg
Reinardus: Yearbook of the International Reynard Society/Annuaire de la Société Internationale Renardienne	Reinardus
RELC Journal: A Journal of Language Teaching and Research in Southeast Asia	RELC
Religion and Literature	R&L
Renaissance and Reformation/Renaissance et Réforme	Ren&R
The Renaissance Bulletin	RenB
Renaissance Drama	RenD
Renaissance & Modern Studies	RMS
Renaissance Monographs	RenM
Renaissance Papers	RenP
Renaissance Quarterly	RenQ
Renaissance Studies: Journal of the Society for Renaissance Studies	RenSt
Renascence: Essays on Value in Literature	Renascence
Rendiconti dell'Istituto Lombardo Accademia di Scienze e Lettere	RIL
Renditions: A Chinese-English Translation Magazine	Renditions
Representations	Representations
República de las Letras	RLetras
Research in African Literatures	RAL
Research Opportunities in Renaissance Drama	RORD
Resources for American Literary Study	RALS
Restant: Tijdschrift voor Recente Semiotische Teorievorming en de Analyse van Teksten/Review for Semiotic Theories and the Analysis of Texts	Restant
Restoration and 18th Century Theatre Research	RECTR
Restoration: Studies in English Literary Culture, 1660-1700	Restoration: Studies in English Literary Culture, 1660-1700
Review	Rev
Review: Latin American Literature and Arts	Review
The Review of Contemporary Fiction	RCF
Review of English Studies: A Quarterly Journal of English Literature and the English Language	RES
Review of National Literatures	RNL
Revista Canadiense de Estudios Hispánicos	RCEH
Revista Canaria de Estudios Ingleses	RCEI
Revista de Critica Literaria Latinoamericana	RCLL
Revista de Dialectología y Tradiciones Populares	RDTP
Revista de Estudios Hispánicos (Río Piedras, Puerto Rico)	REH-PR
Revista de Estudios Hispánicos (St. Louis, MO)	REH
Revista de História	RdH
Revista de Istorie si Teorie Literara	RITL
Revista de Occidente	RO
Revista Española de Lingüística	REspL
Revista Hispánica Moderna	RHM
Revista Iberoamericana	RI
Revista Interamericana de Bibliografia/Inter-American Review of Bibliography	RIB
Revista Letras	RLet
Revista Portuguesa de Filologia	RPF
Revista Portuguesa de Filosofia	RPFilos
Revista/Review Interamericana	RevI
Revista Signos: Estudios de Lengua y Literatura	RSV
Revue Bazmavep: Hayagitakan-Banasirakan-Grakan Handes/Revue d'Etudes Arméniennes	Bazmavep
Revue Belge de Philologie et d'Histoire/Belgisch Tijdschrift voor Filologie en Geschiedenis	RBPH
Revue Bénédictine	RB
Revue d'Histoire du Théâtre	RHT
Revue d'Histoire Ecclésiastique	RHE
Revue d'Histoire Littéraire de la Françe	RHL
Revue de l'ACLA/Journal of the CAAL	RACLA
Revue de l'Université d'Ottawa/University of Ottawa Quarterly	RUO
Revue de Littérature Comparée	RLC
Revue de Métaphysique et de Morale	RMM
Revue de Philologie de Littérature et d'Histoire Anciennes	RPLHA
Revue de Phonétique Appliquée	RevPL
Revue des Etudes Anciennes	REAnc
Revue des Etudes Arméniennes	REArmNS
Revue des Etudes Grecques	REG
Revue des Etudes Islamiques	REIsl
Revue des Etudes Italiennes	REI
Revue des Etudes Latines	RELat
Revue des Langues Romanes	RLR
La Revue des Lettres Modernes: Histoire des Idées et des Littératures	RLM
Revue des Sciences Humaines	RSH
Revue Francophone de Louisiane	RFdL
Revue Générale	RG
Revue Québécoise de Linguistique	RQdL
Revue Québécoise de Linguistique Théorique et Appliquée	RAQL
Revue Romane	RevR
Revue Roumaine de Linguistique	RRL
Revue Thomiste: Revue Doctrinale de Théologie et de Philosophie	RThom
Rheinische Vierteljahrsblätter	RhV
Rheinisches Jahrbuch für Volkskunde	RJV
Rheinisches Museum für Philologie	RMP
Rhetoric Review	RhetRev
Rhetoric Society Quarterly	RSQ
Rhetorica: A Journal of the History of Rhetoric	Rhetorica
Rinascimento: Rivista dell'Istituto Nazionale di Studi sul Rinascimento	Rinascimento
Riverside Quarterly	RQ
La Rivista Dalmatics	RD
Rivista degli Studi Orientali	RdSO
Rivista di Cultura Classica e Medievale	RCCM	
Rivista di Estetica	RdE
Rivista di Filosofia Neo-Scolastica	RFNS
Rivista di Letterature Moderne e Comparate	RLMC
Rivista di Linguistica	RdLing
Rivista di Storia e Letteratura Religiosa	RSLR
Rivista di Studi Bizantini e Neoellenici	RSBN
Rivista di Studi Italiana	RSItal
Rivista Italiana di Dialettologia: Lingue Dialetti Società	RID
Rivista Storica Italiana	RSI
RLA: Revista de Lingüística Teórica y Aplicada	RLTA
Rocky Mountain Review of Language and Literature	RMR
Rocznik Komisji Historycznoliterackiej	RKH
Rocznik Orientalistyczny	RocO
Rocznik Slawistyczny/Revue Slavistique	RoSlaw
Roman 20-50: Revue d'Etude du Roman du XXe Siècle	RVC
Romance Linguistics & Literature Review	RL&LR
Romance Notes	RomN
Romance Philology	RPh
Romance Quarterly	KRQ
Romanian Review	RoR
Romanic Review	RR
Romanica Gandensia	RomG
Romanische Forschungen	RF
Romanistisches Jahrbuch	RJ
Romanoslavica	RomSl
Romantisme: Revue du Dix-Neuvième Siècle	Romantisme
Room of One's Own: A Feminist Journal of Literature and Criticism	ROO
Rozprawy Komisji Jezykowej	RKJ
RSA Journal: Rivista di Studi Nord-Americani	RSA
Ruch Literacki	RuchL
Ruperto Carola: Heidelberger Universitätshefte	RC
Russian, Croatian and Serbian, Czech and Slovak, Polish Literature	RCSCSPL
Russian Language Journal	RLJ
Russian Linguistics: International Journal for the Study of the Russian Language	RusLing
The Russian Review: An American Quarterly Devoted to Russia Past and Present	RusR
Russkaia Literatura: Istoriko-Literaturnyi Zhurnal	RLit
Russkaia Rech': Nauchno-Populiarnyi Zhurnal	RusRe
Russkii Iazyk v Shkole: Metodicheskii Zhurnal	RJS
Russkii Iazyk za Rubezhom	RJR
Sacred Heart University Review	SHUR
Sacris Erudiri: Jaarboek voor Godsdienstwetenschappen	SacE
SAGE: A Scholarly Journal on Black Women	SAGE
Sagetrieb: A Journal Devoted to Poets in the Imagist/Objectivist Tradition	SagetriebIO
Saint Louis University Research Journal of the Graduate School of Arts and Sciences	SLRJ
Salmagundi	Salmagundi
Samlaren: Tidskrift för Svensk Litteraturvetenskaplig Forskning	Samlaren
Sammlung Metzler	SM
Samtiden: Tidsskrift for Politikk, Litteratur og Samfunnsspørsmål	Samtiden
San José Studies	SJS
Sananjalka: Suomen Kielen Seuran Vuosikirja	Sananjalka
Sapienza: Rivista di Filosofia e di Teologia	Sapienza: Rivista di Filosofia e di Teologia
Savacou: A Journal of the Caribbean Artists Movement	Savacou
Savremenik: Mesecni Knjizevni Casopis	Savremenik
Sborník Prací Filosofické Fakulty Brnenské University: Rada Literárnevedná-D	SPFFBUD
Scandinavian Review	ScanR
Scandinavian Studies	SS
Scandinavica: An International Journal of Scandinavian Studies	Scan
Scando-Slavica	SSl
Scena: Casopis za Pozorisnu Umetnost	Scena
Schatzkammer der Deutschen Sprache, Dichtung und Geschichte	Schatzkammer
Scholarly Publishing: A Journal for Authors and Publishers	SchP
Scholars' Facsimiles & Reprints	SF&R
Schriften der Theodor-Storm-Gesellschaft	SSG
Schweizer VolksKunde: Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde	SV
Schweizerisches Archiv für Volkskunde	SAV
Science et Esprit	ScEc
Science Fiction: A Review of Speculative Literature	SFic
Science-Fiction Studies	SFS
Scottish Gaelic Studies	SGS
Scottish Language	ScotL
Scottish Literary Journal	ScLJ
Scottish Studies	ScS
Scottish Text Society	STS
The Scriblerian and the Kit Cats: A Newsjournal Devoted to Pope, Swift, and Their Circle	Scriblerian
Scripsi	Scripsi
Scripta Islandica: Isländska Sällskapets Årsbok	ScI
Scriptorium: Revue Internationale des Etudes Relatives aux Manuscrits/International Review of Manuscript Studies	Scriptorium
The SECOL Review: Southeastern Conference on Linguistics	SECOLB
SECOLAS Annals: Journal of the Southeastern Council on Latin American Studies	SECOLASA
Secolul 20	SXX
Second Language Research	SLRe
Sefarad: Revista de Estudios Hebraicos, Sefardies y de Oriente Proximo	Sefarad
Seges: Etudes et Textes de Philologie et Littérature. Université de Fribourg Suisse/Studien und texte zur Philologie und Literatur. Universität Freiburg Schweiz/Studi e Testi di Filologia e Letteratura. Università di Friburgo Svizzera	Seges
SEL: Studies in English Literature, 1500-1900	SEL
Selecta: Journal of the Pacific Northwest Council on Foreign Languages	Selecta
Selected Bibliographies in Language and Literature	SBLL
Selected Reports in Ethnomusicology	SRIELA
Seminar: A Journal of Germanic Studies	Seminar
Semiotext(e)	Semiotext(e)
Semiotica: Journal of the International Association for Semiotic Studies/Revue de l'Association Internationale de Sémiotique	Semiotica
Serie de Vocabularios y Diccionarios Indigenas Mariano Silva y Aceves	SVDI
Serpe: Revista Letteraria	Serpe: Revista Letteraria
The Seventeenth Century	SCen
Seventeenth-Century News	SCN
Sewanee Review	SR
Shakespeare Bulletin: A Journal of Performance Criticism and Scholarship	ShakB
The Shakespeare Newsletter	ShN
Shakespeare Quarterly	SQ
Shakespeare Studies (Albuquerque, NM)	ShakS
Shakespeare Studies (Tokyo)	ShStud
Shakespeare Survey: An Annual Survey of Shakespeare Study and Production	ShS
The Shandean: An Annual Devoted to Laurence Sterne and His Works	Shandean
The Shavian: The Journal of the Shaw Society	Shavian
Shaw: The Annual of Bernard Shaw Studies	ShawR
Shenandoah: The Washington & Lee University Review	Shenandoah
Sight and Sound	Sight&S
Siglo XX/20th Century	Siglo
Sigma: Linguistique Anglaise-Linguistique Générale	Sig
Sign Language Studies	SLS
Signs: Journal of Women in Culture and Society	Signs
Silarus: Rassegna Bimestrale di Cultura	Silarus
Sing Out!: The Folk Song Magazine	Sing Out
Sinn und Form: Beiträge zur Literatur	SuF
Sipario: Il Mensile Italiano dello Spettacolo	Sipario
Sirp ja Vasar	SjV
Sitzungsberichte der Österreichischen Akademie der Wissenschaften in Wien, Philosophisch-Historische Klasse	SÖAW
The Sixteenth Century Journal	SCJ
Skírnir: Tímarit Hins Íslenska Bókmenntafélags	Skírnir
Slavia: Casopis pro Slovanskou Filologii	Slavia
Slavia Orientalis	SlOr
Slavic and East European Arts	SEEA
Slavic and East European Journal	SEEJ
Slavic Review: American Quarterly of Russian, Eurasian and East European Studies	SlavR
Slavisticna Revija	SlR
The Slavonic and East European Review	SEER
Slovakia	Slovakia
Slovene Studies: Journal of the Society for Slovene Studies	SlovS
Slovenský Národopis	SlovN
Slovenská Literatúra: Revue Pre Literárnu Vedu	SlovLit
Slovenská Rec: Casopis Pre Výskum Slovenského Jazyka	SlRec
Slovenské Divadlo: Revue Dramatických Umení	SDi
Slovenské Pohl'ady na Literatúru a Umenie	SlovP
Slovo a Slovesnost	SaS
Slovo: Casopis Staroslavenskog Zavoda u Zagrebu	Slovo
Slovo na Storozhi	SNS
Social Psychology Quarterly	SPsy
Social Science Information/Information sur les Sciences Sociales	SSI
Social Text	SText
Society for the Study of Midwestern Literature Newsletter	SSMLN
Sociocriticism	Sociocriticism	
Sophia	SophiaT
Sophia English Studies	SES
Soundings: An Interdisciplinary Journal	Soundings
Soundings: Collections of the University Library, University of California, Santa Barbara	SCUL
Sources Chrétiennes	SCh
South African Journal of African Languages/Suid-Afrikaanse Tydskrif vir Afrikatale	SAJAL
South Atlantic Quarterly	SAQ
South Atlantic Review	SoAR
South Carolina Review	SCR
South Central Review: The Journal of the South Central Modern Language Association	SCRev
South Dakota Review	SDR
Southerly: A Review of Australian Literature	Southerly
Southern Folklore	SFolk
Southern Humanities Review	SHR
Southern Literary Journal	SLJ
The Southern Quarterly: A Journal of the Arts in the South	SoQ
The Southern Review (Baton Rouge, LA)	SoR
Southern Review: Literary and Interdisciplinary Essays (Adelaide, South Australia)	SoRA
Southern Studies: An Interdisciplinary Journal of the South	SoSt
Southwest Journal of Linguistics	SJL
Southwest Review	SWR
Sovetish Heymland/Sovetskaia Rodina: Ezhemesiachnyi Literaturno-Khudozhestvennyi Zhurnal	SovH
Soviet Literature	SovL
Speculum: A Journal of Medieval Studies	Speculum
Speculum Artium	SArt
Spektator: Tijdschrift voor Neerlandistiek	Spektator
Spenser Studies: A Renaissance Poetry Annual	SSt
Spicilegio Moderno: Letteratura, Lingua, Idee	SpM
Spiegel der Letteren: Tijdschrift voor Nederlandse Literatuurgeschiedenis en voor Literatuurwetenschap	SpL
Spirit: A Magazine of Poetry	Spirit
Sprache im Technischen Zeitalter	SiTZ
Sprache und Datenverarbeitung: International Journal for Language Data Processing	SDv
