Academia Economic Papers	Academia Econ. Pap.	Academia Econ Pap
Recherches Economiques de Louvain/Louvain Economic Review	Rech. Econ. Louvain/Louvain Econ. Rev.	Rech Econ Louvain/Louvain Econ Rev
Région et Développement	Région Dével.	Région Dével
Regional Science and Urban Economics	Reg. Sci. Urban Econ.	Reg Sci Urban Econ
Regional Science Perspectives	Reg. Sci. Persp.	Reg Sci Persp
Regional Studies	Reg. Stud.	Reg Stud
Regulation	Regulation	Regulation
Research in Economics	Res. Econ.	Res Econ
Research in Law and Economics	Res. Law Econ.	Res Law Econ
Research Policy	Res. Pol.	Res Pol
Resource and Energy Economics	Resource Energy Econ.	Resource Energy Econ
Resources and Energy	Resources Energy	Resources Energy
Resources Policy	Resources Pol.	Resources Pol
Review of Accounting Studies	Rev. Acc. Stud.	Rev Acc Stud
Review of African Political Economy	Rev. African Polit. Economy	Rev African Polit Economy
Review of Agricultural Economics	Rev. Agr. Econ.	Rev Agr Econ
Review of Austrian Economics	Rev. Austrian Econ.	Rev Austrian Econ
Review of Black Political Economy	Rev. Black Polit. Economy	Rev Black Polit Economy
Review of Business and Economic Research	Rev. Bus. Econ. Res.	Rev Bus Econ Res
Review of Derivatives Research	Rev. Derivatives Res.	Rev Derivatives Res
Review of Development Economics	Rev. Devel. Econ.	Rev Devel Econ
Review of Economic Conditions in Italy	Rev. Econ. Cond. Italy	Rev Econ Cond Italy
Review of Economic Design	Rev. Econ. Design	Rev Econ Design
Review of Economic Dynamics	Rev. Econ. Dynam.	Rev Econ Dynam
Review of Economic Studies	Rev. Econ. Stud.	Rev Econ Stud
Review of Economics and Statistics	Rev. Econ. Statist.	Rev Econ Statist
Review of Financial Economics	Rev. Finan. Econ.	Rev Finan Econ
Review of Financial Studies	Rev. Finan. Stud.	Rev Finan Stud
Review of Income and Wealth	Rev. Income Wealth	Rev Income Wealth
Review of Industrial Organization	Rev. Ind. Organ.	Rev Ind Organ
Review of International Economics	Rev. Int. Econ.	Rev Int Econ
Review of International Political Economy	Rev. Int. Polit. Economy	Rev Int Polit Economy
Review of International Studies	Rev. Int. Stud.	Rev Int Stud
Review of Marketing and Agricultural Economics	Rev. Marketing Agr. Econ.	Rev Marketing Agr Econ
Review of Political Economy	Rev. Polit. Economy	Rev Polit Economy
Review of Public Data Use	Rev. Public Data Use	Rev Public Data Use
Review of Quantitative Finance and Accounting	Rev. Quant. Finance Acc.	Rev Quant Finance Acc
Review of Radical Political Economics	Rev. Radical Polit. Econ.	Rev Radical Polit Econ
Review of Regional Studies	Rev. Reg. Stud.	Rev Reg Stud
Review of Social Economy	Rev. Soc. Economy	Rev Soc Economy
Review of Urban and Regional Development Studies	Rev. Urban Reg. Devel. Stud.	Rev Urban Reg Devel Stud
Revista Brasileira de Economia	Revista Brasileira Econ.	Revista Brasileira Econ
Revista de Administraçao d Emprêsas	Revista Admin. Emprêsas	Revista Admin Emprêsas
Revista de Analisis Economico	Revista Anal. Econ.	Revista Anal Econ
Revista de Econometria	Revista Econometria	Revista Econometria
Revista de Economia Aplicada	Revista Econ. Aplicada	Revista Econ Aplicada
Revista de Economía Institucional	Revista Econ. Inst.	Revista Econ Inst
Revista de Economia Política	Revista Econ. Política	Revista Econ Política
Revista de Economia Política/Brazilian Journal of Political Economy	Revista Econ. Política/Brazilian J. Polit. Economy	Revista Econ Política/Brazilian J Polit Economy
Revista de Economía y Estadística, N.S.	Revista Econ. y Estadíst.	Revista Econ y Estadíst
Revista de Economía	Revista Econ.	Revista Econ
Revista de Estadística	Revista Estadíst.	Revista Estadíst
Revista de Estudios Políticos	Revista Estud. Polít.	Revista Estud Polít
Revista de Historia Económica	Revista Hist. Econ.	Revista Hist Econ
Revista de Historia Industrial	Revista Hist. Ind.	Revista Hist Ind
Revista de la Facultad de Ciencas Económicas y de Administración de Montevideo	Revista Fac. Cienc. Econ. Admin. Montevideo	Revista Fac Cienc Econ Admin Montevideo
Revista Española de Economía	Revista Española Econ.	Revista Española Econ
Revue Canadienne des Sciences de l'Administration/Canadian Journal of Administrative Sciences	Revue Can. Sci. Admin./Can. J. Admin. Sci.	Revue Can Sci Admin/Can J Admin Sci
Revue de L'OFCE	Revue L'OFCE	Revue L'OFCE
Revue de Science Financière	Revue Sci. Financ.	Revue Sci Financ
Revue d'Economie du Développement	Revue Econ. Dével.	Revue Econ Dével
Revue d'Economie Financière	Revue Econ. Financ.	Revue Econ Financ
Revue d'Economie Industrielle	Revue Econ. Ind.	Revue Econ Ind
Revue d'Economie Politique	Revue Econ. Politique	Revue Econ Politique
Revue d'Economie Regionale et Urbaine	Revue Econ. Reg. Urbaine	Revue Econ Reg Urbaine
Revue d'Etudes Comparatives Est-Ouest	Revue Etud. Compar. Est-Ouest	Revue Etud Compar Est-Ouest
Revue Economique de Madagascar	Revue Econ. Madagascar	Revue Econ Madagascar
Revue Economique	Revue Econ.	Revue Econ
Revue Finance Contrôle Stratégie	Revue Finance Contrôle Stratégie	Revue Finance Contrôle Stratégie
Revue Française de Gestion	Revue Française Gestion	Revue Française Gestion
Revue Française d'Economie	Revue Française Econ.	Revue Française Econ
Revue Roumaine des Sciences Sociales; Série Sciences Economiques	Revue Roumaine Sci. Soc. Série Sci. Econ.	Revue Roumaine Sci Soc Série Sci Econ
Revue Tiers Monde	Revue Tiers Monde	Revue Tiers Monde
Ricerche Economiche	Ricerche Econ.	Ricerche Econ
RISEC: International Review of Economics and Business	RISEC: Int. Rev. Econ. Bus.	RISEC: Int Rev Econ Bus
Risk Decision and Policy	Risk Dec. Pol.	Risk Dec Pol
Rivista di Politica Economica	Rivista Politica Econ.	Rivista Politica Econ
Rivista di Statistica Applicata	Rivista Statist. Appl.	Rivista Statist Appl
Rivista di Storia Economica, N.S.	Rivista Storia Econ., N.S.	Rivista Storia Econ, NS
Rivista Internazionale di Scienze Economiche e Commerciali	Rivista Int. Sci. Econ. Com.	Rivista Int Sci Econ Com
Rivista Internazionale di Scienze Sociali	Rivista Int. Sci. Soc.	Rivista Int Sci Soc
Rivista Italiana degli Economisti	Rivista Italiana Econ.	Rivista Italiana Econ
Russian and East European Finance and Trade	Russian E. Europ. Finance Trade	Russian E Europ Finance Trade
Russian Economic Trends	Russian Econ. Trends	Russian Econ Trends
Scandinavian Economic History Review	Scand. Econ. Hist. Rev.	Scand Econ Hist Rev
Scandinavian Journal of Economics	Scand. J. Econ.	Scand J Econ
Schmollers Jahrbuch für Wirtschafts- und Sozialwissenschaften	Schmollers Jahr.	Schmollers Jahr
Schmollers Jahrbuch: Zeitschrift für Wirtschafts- und Sozialwissenschaften/Journal of Applied Social Science Studies	Schmollers Jahr.: Z. Wirtsch. Sozialwissen./J. Appl. Soc. Sci. Stud.	Schmollers Jahr: Z Wirtsch Sozialwissen/J Appl Soc Sci Stud
Schweizerische Nationalbank Quartalsheft	Schweiz. Nationalbank Quart.	Schweiz Nationalbank Quart
Schweizerische Zeitschrift für Volkswirtschaft und Statistik	Schweiz. Z. Volkswirtsch. Statist.	Schweiz Z Volkswirtsch Statist
Schweizerische Zeitschrift für Volkswirtschaft und Statistik/Swiss Journal of Economics and Statistics	Schweiz. Z. Volkswirtsch. Statist./Swiss J. Econ. Statist.	Schweiz Z Volkswirtsch Statist/Swiss J Econ Statist
Science and Society	Sci. Society	Sci Society
Scottish Journal of Political Economy	Scot. J. Polit. Economy	Scot J Polit Economy
Seoul Journal of Economics	Seoul J. Econ.	Seoul J Econ
Singapore Economic Review	Singapore Econ. Rev.	Singapore Econ Rev
Skandinaviska Banken Quarterly Review	Skand. Banken Quart. Rev.	Skand Banken Quart Rev
Sloan Management Review	Sloan Manage. Rev.	Sloan Manage Rev
Small Business Economics	Small Bus. Econ.	Small Bus Econ
Social and Economic Studies	Soc. Econ. Stud.	Soc Econ Stud
Social Choice and Welfare	Soc. Choice Welfare	Soc Choice Welfare
Social Research	Soc. Res.	Soc Res
Social Science Japan Journal	Soc. Sci. Japan J.	Soc Sci Japan J
Social Science Quarterly	Soc. Sci. Quart.	Soc Sci Quart
Social Security Bulletin	Soc. Sec. Bull.	Soc Sec Bull
South African Journal of Economic and Management Sciences, N.S.	South African J. Econ. Manage. Sci., N.S.	South African J Econ Manage Sci, NS
South African Journal of Economics	South African J. Econ.	South African J Econ
Southern Economic Journal	Southern Econ. J.	Southern Econ J
Southern Journal of Agricultural Economics	Southern J. Agr. Econ.	Southern J Agr Econ
Southern Quarterly	Southern Quart.	Southern Quart
Soviet and Eastern European Foreign Trade	Soviet E. Europ. Foreign Trade	Soviet E Europ Foreign Trade
Soviet Economy	Soviet Economy	Soviet Economy
Soviet Studies	Soviet Stud.	Soviet Stud
Spanish Economic Review	Spanish Econ. Rev.	Spanish Econ Rev
Spoudai	Spoudai	Spoudai
Statistica	Statistica	Statistica
Statistical Journal	Statistical J.	Statistical J
Statistical Papers	Statistical Pap.	Statistical Pap
Statsokonomisk Tidsskrift	Statsokon. Tidsskr.	Statsokon Tidsskr
Structural Change and Economic Dynamics	Struct. Change Econ. Dynam.	Struct Change Econ Dynam
Studi Economici	Stud. Econ.	Stud Econ
Studies in Economics and Finance	Stud. Econ. Finance	Stud Econ Finance
Studies in Family Planning	Stud. Family Planning	Stud Family Planning
Studies in Nonlinear Dynamics and Econometrics	Stud. Nonlinear Dynam. Econometrics	Stud Nonlinear Dynam Econometrics
Studii si Cercetari Economice	Stud. Cercet. Econ.	Stud Cercet Econ
Suid-Afrikaanse Tydskrif vir Ekonomiese en Bestuurswetenskappe/South African Journal of Economic and Management Sciences, N.S.	Suid-Afrikaanse Tydskr. Ekon. Bestuurswetenskappe/South African J. Econ. Manage. Sci., N.S.	Suid-Afrikaanse Tydskr Ekon Bestuurswetenskappe/South African J Econ Manage Sci, NS
Suid-Afrikaanse Tydskrif vir Ekonomiese en Bestuurswetenskappe/South African Journal of Economic and Management Sciences	Suid-Afrikaanse Tydskr. Ekon. Bestuurswetenskappe/South African J. Econ. Manage. Sci.	Suid-Afrikaanse Tydskr Ekon Bestuurswetenskappe/South African J Econ Manage Sci
Supreme Court Economic Review	Supreme Court Econ. Rev.	Supreme Court Econ Rev
Survey of Current Business	Surv. Curr. Bus.	Surv Curr Bus
Swedish Economic Policy Review	Swedish Econ. Pol. Rev.	Swedish Econ Pol Rev
Swedish Journal of Economics	Swedish J. Econ.	Swedish J Econ
Swiss Political Science Review	Swiss Polit. Sci. Rev.	Swiss Polit Sci Rev
Tahqiqat-e eqtesadi (Quarterly Journal of Economic Research)	Tahq. Eq.	Tahq Eq
Taiwan Economic Review	Taiwan Econ. Rev.	Taiwan Econ Rev
Teaching Business and Economics	Teaching Bus. Econ.	Teaching Bus Econ
Technology Analysis and Strategic Management	Tech. Anal. Strategic Manage.	Tech Anal Strategic Manage
Technology and Culture	Tech. Cult.	Tech Cult
Telecommunications Policy	Telecommunications Pol.	Telecommunications Pol
Theory and Decision	Theory Dec.	Theory Dec
Tijdschrift voor Economie en Management	Tijdschr. Econ. Manage.	Tijdschr Econ Manage
Tijdschrift voor Economie	Tijdschr. Econ.	Tijdschr Econ
Tourism and Hospitality Management	Tourism Hospitality Manage.	Tourism Hospitality Manage
Tourism Economics	Tourism Econ.	Tourism Econ
Trans-action	Trans-action	Trans-action
Transnational Corporations	Transnat. Corporations	Transnat Corporations
Transportation Journal	Transp. J.	Transp J
Transportation Research: Part A: Policy and Practice	Transp. Res.: Part A: Pol. Practice	Transp Res: Part A: Pol Practice
Transportation Research: Part B: Methodological	Transp. Res.: Part B: Methodological	Transp Res: Part B: Methodological
Transportation Research: Part D: Transport and Environment	Transp. Res.: Part D: Transport Environ.	Transp Res: Part D: Transport Environ
Transportation Research: Part E: Logistics and Transporation Review	Transp. Res.: Part E: Logist. Transp. Rev.	Transp Res: Part E: Logist Transp Rev
Transportation	Transportation	Transportation
Travail et Emploi	Travail Emploi	Travail Emploi
Ukrainian Economic Review	Ukrainian Econ. Rev.	Ukrainian Econ Rev
UNCTAD Review	UNCTAD Rev.	UNCTAD Rev
United Nations Monthly Chronicle	UN Mon. Chron.	UN Mon Chron
University of Missouri Business and Government Review	Univ. Missouri Bus. Govt. Rev.	Univ Missouri Bus Govt Rev
University of Washington Business Review	Univ. Wash. Bus. Rev.	Univ Wash Bus Rev
Urban Studies	Urban Stud.	Urban Stud
Venture Capital	Venture Capital	Venture Capital
Vierteljahrsheftze zur Wirtschaftsforschung	Vierteljahrs. Wirtschaftsforschung	Vierteljahrs Wirtschaftsforschung
Water Resources Research	Water Resources Res.	Water Resources Res
Weltwirtschaftliches Archiv	Weltwirtsch. Arch.	Weltwirtsch Arch
Weltwirtschaftliches Archiv/Review of World Economics	Weltwirtsch. Arch./Rev. World Econ.	Weltwirtsch Arch/Rev World Econ
Western Economic Journal	Western Econ. J.	Western Econ J
Western Journal of Agricultural Economics	Western J. Agr. Econ.	Western J Agr Econ
Wirtschaft und Recht	Wirtsch. Recht	Wirtsch Recht
Wirtschaftspolitische Blätter	Wirtschaftspolitische Blätter	Wirtschaftspolitische Blätter
Wissenshaftliche Zeitschrift der Martin Luther Universitat Halle-Wittenberg	Wiss Z. Martin-Luther Univ. Halle-Wittenberg	Wiss Z Martin-Luther Univ Halle-Wittenberg
WorkingUSA	WorkingUSA	WorkingUSA
World Bank Economic Review	World Bank Econ. Rev.	World Bank Econ Rev
World Bank Research Observer	World Bank Res. Observer	World Bank Res Observer
World Development	World Devel.	World Devel
World Economy	World Economy	World Economy
Yale Economic Essays	Yale Econ. Essays	Yale Econ Essays
Yale Journal on Regulation	Yale J. Regul.	Yale J Regul
Yale Law Journal	Yale Law J.	Yale Law J
Yapi Kredi Economic Review	Yapi Kredi Econ. Rev.	Yapi Kredi Econ Rev
Yorkshire Bull. Econ. Soc. Res.	Yorkshire Bull. Econ. Soc. Res.	Yorkshire Bull Econ Soc Res
Zagreb International Review of Economics and Business	Zagreb Int. Rev. Econ. Bus.	Zagreb Int Rev Econ Bus
Zbornik Radova Ekonomskog Fakulteta Rijeka	Zbornik Radova Ekon. Fakul. Rijeka	Zbornik Radova Ekon Fakul Rijeka
Zbornik Radova Ekonomskog Fakulteta U. Rijeci/Proceedings of Rijeka School of Economics: Journal of Economics and Business	Zbornik Radova Ekon. Fakul. U. Rijeci/Proceed. Rijeka Sch. Econ.: J. Econ. Bus.	Zbornik Radova Ekon Fakul U Rijeci/Proceed Rijeka Sch Econ: J Econ Bus
Zeitschrift für Allgemaine und Textile Marktwirts schaft	Z. Allg. Textile Marktwirtsch.	Z Allg Textile Marktwirtsch
Zeitschrift für Betriebswirtschaft	Z. Betriebswirtschaft	Z Betriebswirtschaft
Zeitschrift für die gesamte Staatswissenschaft (JITE)	Z. ges. Staatswissen. (JITE)	Z ges Staatswissen (JITE)
Zeitschrift für Nationalökonomie	Z. Nationalökon.	Z Nationalökon
Zeitschrift für Wirtschafts- und Sozialwissenschaften	Z. Wirtsch. Sozialwissen.	Z Wirtsch Sozialwissen
Zeitschrift für Wirtschaftspolitik	Z. Wirtschaftspolitik	Z Wirtschaftspolitik
