WORD	ABBREVIATION	LANGUAGES
jodendom	jodend.	Dutch
jødisk	jød.	Danish
Joensuu		Finnish
joernaal-	j.	Dutch
jogász		Hungarian
jogelmélet	jogelm.	Hungarian
jogger	jog.	English
jogging	jog.	English
jogsegély	jogseg.	Hungarian
jogsegélyszolgálat	jogsegszolg.	Hungarian
jogszabály	jogszab.	Hungarian
jogszabálygyűjtemény	jogszabgyűjt.	Hungarian
jogtörténet	jogtört.	Hungarian
jogtudomány	jogtud.	Hungarian
Johannesberg	Johannesb.	German
Johannesburg	Johannesbg.	English
Johanneshov		Swedish
Johanniter		Dutch
Johnson	Johns.	English
johtaja	joht.	Finnish
johtohenkilöstö-		Finnish
johtomuistio	johtomuist.	Finnish
joinery	join.	English
joining	join.	English
joint	jt.	English,French
jointing	jt.	English
joker		English
joker-	joker.	Croatian
Jonapher		English
jong-	jong.	Dutch
jonizuja̢c-	joniz.	Polish
Jönköping	Jönköp.	Swedish
Jonquière		French
Joods-		Dutch
joogaliitto	joogal.	Finnish
jordan		English
Jordanien	Jordan.	German
Jordanov-	Jordan.	Croatian
jordart		Swedish
jordartsgeolog-	jordartsgeol.	Swedish
jordbrugsforskning-	jordbrugsforsk.	Danish
jordbruk	jordbr.	Swedish
jordbrukare	jordbr.	Swedish
jordbruksekonom-	jordbruksekon.	Swedish
jordbruksetat		Norwegian
jordbruksförsök	jordbruksförs.	Swedish
jordbruksförsöksanstalt-	jordbruksförsöksanst.	Swedish
jordbruksnämnds	jordbruksn.	Swedish
jordbrukstekni-	jordbrukstek.	Norwegian,Swedish
jordemoder	jordem.	Danish
jordfag		Norwegian
jordkultur	jordkult.	Norwegian
jordlov		Norwegian
jordmagnetiska	jordmagn.	Swedish
jordmødre		Norwegian
jordmor		Norwegian
jordregisterinstitutt	jordregisterinst.	Norwegian
jordskifte		Norwegian
jordvärmegrupp-	jordvärmegr.	Swedish
jorkskoj	jorsk.	Russian
jornada	jorn.	Spanish
jornal-	j.	Spanish
Josephinisch	Joseph.	German
joskapoja		Finnish
jotting	jott.	English
joueur		French
joululehti	joulul.	Finnish
joulutervehdys	jouluterveh.	Finnish
jouluviesti		Finnish
journaal	j.	Dutch
journal	j.	English,French
journalism-	journal.	French
journalist	journal.	English
journaliste	journal.	French
journalistiek	journal.	Dutch
Journalistik	Journal.	German
journalistikk	journal.	Norwegian
journée	journ.	French
journey		English
jousisoitinopettaja	jousisoitinopet.	Finnish
jousisoittin	jousisoitt.	Finnish
jövedelem	jöved.	Hungarian
jövedelemadat	jövedad.	Hungarian
jövedelemeloszlás	jövedeloszl.	Hungarian
jövedelemelosztás	jövedeloszt.	Hungarian
jövedelemhelyzet	jövedhelyz.	Hungarian
jövedelemtermel-	jövedtermel.	Hungarian
jövedelemváltozás	jövedvált.	Hungarian
jövedelemviszony	jövedviszony.	Hungarian
jovem		Portuguese
joven-		Catalan,Spanish
jövőkutat-	jövőkut.	Hungarian
joyero		Spanish
joyeux		French
joyful	joyf.	English
Józsefváros	Józsefv.	Hungarian
jualbeli	jualb.	Malay
jubil-	jubil.	Multiple Languages
jubilación	jubilac.	Spanish
jubilado		Spanish
jubilea	jubil.	Spanish
jubilee	jubil.	English
jubilersk-	jubiler.	Polish
jucundus		Latin
Judaea	Jud.	Latin
judaic	jud.	English
Judaica	Jud.	German
judaïque	jud.	French
judaism-	jud.	English
judaistisch	jud.	German
judaistisk	jud.	Swedish
judaisztika	jud.	Hungarian
Jude		German
jude-	jud.	German,Spanish
judendom	judend.	Swedish
Judentum		German
judeţean	judeţ.	Romanian
judging	judg.	English
judgment	judgm.	English
judicature	judic.	English
judicia-	judic.	English,French
judikatura	judik.	Czech
judío	jud.	Spanish
jüdisch	jüd.	German
judisk	jud.	Swedish
judoka		Multiple Languages
juego		Spanish
jueves		Spanish
juffrouw	juffr.	Dutch
jugar		Spanish
jugement	jugem.	French
Jugend		German
Jugendarbeit	Jugendarb.	German
jugendärztlich-	jugendärztl.	German
Jugendbewegung-	Jugendbeweg.	German
Jugendbrief	Jugendbr.	German
Jugendbuch	Jugendb.	German
Jugenddelinquenz	Jugenddelinq.	German
Jugenddorfwerk	Jugenddorfw.	German
Jugendfilm		German
Jugendforschung-	Jugendforsch.	German
jugendgefährdend-	jugendgefährd.	German
Jugendgefährdung	Jugendgefährd.	German
Jugendgerichte	Jungendger.	German
Jugendgynäkolog-	Jugendgynäkol.	German
Jugendherberge	Jugendherb.	German
Jugendhilfe		German
Jugendinstitut-	Jugendinst.	German
Jugendkonferenz	Jugendkonf.	German
Jugendkriminalität	Jugendkrim.	German
Jugendkund-	Jugendkd.	German
Jugendlich	Jugendl.	German
Jugendliteratur	Jugendlit.	German
Jugendmagazin	Jugendmag.	German
Jugendmedium		German
Jugendmedizin	Jugendmed.	German
Jugendpflege	Jugendpfl.	German
Jugendplan	Jugendpl.	German
Jugendpolitik	Jugendpolit.	German
Jugendpost		German
Jugendpresse		German
Jugendpresseforschung	Jugendpresseforsch.	German
Jugendpressematerial-	Jugendpressemater.	German
Jugendrecht	Jugendr.	English
Jugendschrift	Jugendschr.	German
Jugendschutz		German
Jugendseelsorger		German
Jugendsoziologie	Jugendsoziol.	German
Jugendstrafvollzugskommission	Jugendstrafvollzugskomm.	German
Jugendtag		German
Jugendtheater		German
Jugendvertreter	Jugendvertret.	German
Jugendverwahrlosung	Jugendverwahrlos.	German
Jugendwerk		German
Jugendzeitung	Jugendztg.	German
juggl-	juggl.	English
jugoistočna	jugoist.	Bosnian
Jugoslav-	Jugosl.	Slovenian
Jugoslawien	Jugosl.	German
jugoslov-	jugosl.	Croatian
juguete		Spanish
juhendmaterjal-	juhendmater.	Estonian
juhtenyésztés	juhteny.	Hungarian
juhtörzskönyvezés	juhtörzskv.	Hungarian
juicioso		Spanish
Juigalpa		Dutch
juizado	juiz.	Portuguese
Jujuy		Spanish
jukebox		Dutch
julbock		Swedish
julehilsen	julehils.	Norwegian
julg-	julg.	Portuguese
julhälsningar	julhälsn.	Swedish
Jülich	Jül.	German
Julita		Swedish
július	júl.	Hungarian
julkaisija	julk.	Finnish
julkaisu-	julk.	Finnish
julkin-	julk.	Finnish
jumaat		Malay
jumeau		French
jump-	jump.	English
junction		English
Juneau		English
Jungborn		German
jungfru		Swedish
Junghandwerk	Junghandw.	German
Jungkaufmann	Jungkaufm.	German
junglă		Romanian
Jungschararbeit	Jungschararb.	German
Jungscharhelfer	Jungscharhelf.	German
junguien	jung.	French
junior	jr.	English,French
június	jún.	Hungarian
Junkfurt-		German
junta		Spanish
juovll-		
Jupiter	Jupit.	German
Juramagazin	Juramag.	German
Jurassic	Jurass.	English
jurassien	jura.	French
jurat		Catalan
jurídic-	juríd.	Spanish
juridique	jurid.	French
juridisch	jurid.	Dutch
juridisk	jurid.	Swedish
juridiskai	jurid.	Latvian
jurimetric	jurimetr.	English
jurina		Croatian
juris-classeur		French
jurisdicción	jurisd.	Spanish
jurisdiccional	jurisd.	Spanish
jurisdiction-	jurisd.	English
jurisprudence	jurisprud.	French
jurisprudencia	jurisprud.	Spanish
jurisprudencij-	jurisprud.	Lithuanian
jurisprudentie	jurisprud.	Dutch
Jurist		German
juriste		French
Juristenmagazin	Juristenmag.	German
juristisch	jurist.	German
juristnytt		Swedish
jurjevens-	jurjev.	Latin
Jūrmala		Latvian
jurnal	j.	Multiple Languages
jūrniecība-	jūrn.	Latvian
jūrniek-	jūrn.	Latvian
jurusan	jur.	Indonesian
justiça		Portuguese
justice		English,French
justicia		Portuguese,Spanish
justicija		Lithuanian
justīcija		Latvian
justičná		Slovak
justification	justif.	English,French
justitia		Dutch
justitie		Swedish
justitiëel		Dutch
justitieombudsm-	justitieombudsm.	Swedish
justitiepastoraat	justitiepastor.	Dutch
Justiz		German
Justizkalender	Justizkal.	German
Justizministerium	Justizminist.	German
jutar-	jutar.	Croatian
jutarnji	jutar.	Bosnian
juteindustr-	juteind.	German
jutland-	jutl.	Danish
juvenil-	juv.	English
juvénile-	juv.	French
juvent-	juv.	Croatian,Spanish
Juwel		German
juwelier	juwel.	Dutch
Juwell-	Juwel.	German
juzgado		Spanish
južn-	južn.	Serbian
jydsk	jyd.	Danish
Jylland	Jyll.	Danish
Jyväskylä	Jyväsk.	Finnish
kaakko-	kaakk.	Finnish
käännökset		Finnish
käännösteoria	käännösteor.	Finnish
kääntäjä	käänt.	Finnish
kaart		Dutch
kaasaaeg-		Estonian
kaasudynamiika-	kaasudyn.	Finnish
kaatsbond		Dutch
kaavoitus	kaav.	Finnish
Kabala		Greek,Modern (1453- )
kabaliōt-	kabaliōt.	Greek,Modern (1453- )
kabar		Indonesian
Kabar-	Kabar.	Indonesian,Kyrgyz
kabardin-	kabard.	Russian
kabata		Latvian
kabel-	kabel.	Lithuanian
kabelʹn-	kabelʹn.	Russian
kabelfabriek-	kabelfabr.	Dutch
kábelgyár	kábelgy.	Hungarian
kábelipar	kábelip.	Hungarian
kábelmű		Hungarian
kabinet	kab.	Hungarian
Kabinet-	Kab.	German,Russian
kabinetkiállítás	kabkiáll.	Hungarian
kabinets	kab.	Latvian
káblova	kábl.	Slovak
Kabotage		German
kabupaten		Indonesian
kacangan		Indonesian
káčer		Czech,Slovak
kačestv-	kač.	Russian
Kachelofen		German
kadaster	kadast.	Dutch
Kadazandusun		Malay
kader		Dutch
kaderblad	kaderbl.	Dutch
kaderbrochure	kaderbroch.	Dutch
kadeřnická	kadeř.	Czech
kaderschool	kadersch.	Dutch
kadervorming		Dutch
kadina		English
kadın		Turkish
kadra		Greek,Modern (1453- )
kadrov-		Croatian
kadrowy	kadr.	Polish
Kaduna	Kad.	English
kærlighed	kærligh.	Danish
kafedr-	kafedr.	Russian
Kaffee		German
Kaffeechemi-	Kaffeechem.	German
kafkas		Turkish
kaġaldebi	kaġald.	Georgian
kagoshimaens-	kagoshima.	Latin
kahetsk-	kahet.	Russian
Kahlgrund		German
kain-		Greek,Modern (1453- )
kainos	kain.	Lithuanian
kainotom-	kainot.	Greek,Modern (1453- )
kainourg-	kainourg.	Greek,Modern (1453- )
kainuulaisille		Finnish
kainuum	kain.	Finnish
kainynas	kainyn.	Lithuanian
kair-		Greek,Modern (1453- )
Kaïreion		Greek,Modern (1453- )
kairouan-	kairouan.	French
Kaiser	Kais.	German
Kaiserbach	Kaiserb.	German
Kaiserhaus		German
kaiserlich-	kais.	German
kaiserlich-koeniglich	k.-k.	German
Kaiserslautern	Kaiserslaut.	German
kaivoslautakunta	kaivoslautakun.	Finnish
kajaani		Finnish
kajah-		Finnish
kajak-	kajak.	Croatian
kajero-		Spanish
kajian	kaji.	Indonesian
kajibumi		Malay
kajkavsk-	kajkav.	Croatian
kakanj-	kakanj.	Croatian
kakao		German
kakko-		Finnish
kakou		Greek,Modern (1453- )
kakovost-	kakov.	Slovenian
Kakt-	Kakt.	German
kalʹci-		Russian
kalʹcijsoderž-	kalʹcijsoderž.	Russian
Kalabrutōn	Kalabr.	Greek,Modern (1453- )
Kalahandi		English
Kalahari	Kalah.	Multiple Languages
kalajokilaakso		Finnish
Kalamata		Greek,Modern (1453- )
Kalamazoo		English
kalandus	kala.	Estonian
kalankasvattaja	kalankasv.	Finnish
kalanviljely-	kalanvilj.	Finnish
kalastus		Finnish
kalastuspiiri	kalastusp.	Finnish
kalastustoimisto	kalastustoim.	Finnish
kalba		Lithuanian
kalbotyra	kalbot.	Lithuanian
kalectw-	kalec.	Polish
kaleidoscope	kaleidosc.	Multiple Languages
kaleidoskop	kaleidosk.	Czech
kaleidoszkóp	kaleidoszk.	Hungarian
kalejdoskop	kalejdosk.	Polish
kalend-	kal.	German,Latvian,Russian
kalendárium	kal.	Hungarian
kalenner	kal.	German
kalenteri	kal.	Finnish
kalesijsk-	kalesij.	Croatian
Kalgoorlie		English
kalibrasi	kalibr.	Indonesian
kalibrering	kalib.	Danish
kalibrovočn-	kalibr.	Russian
Kalifornien	Kalif.	German
kalijnyj	kalij.	Russian
kalimantan		Indonesian
kaliningradsk-	kaliningr.	Russian
kalininsk-	kalinin.	Russian
kalinka		Multiple Languages
Kalisk-		Polish
Kalistē		Greek,Modern (1453- )
Kalisympos-	Kalisymp.	German
kalite		Turkish
Kalkar		German
Kalkindustr-	Kalkind.	German
kalkınma	kalk.	Turkish
Kalksandstein		German
Kalktagung-	Kalktag.	German
Kalkulation	Kalkul.	German
kalkuler	kalk.	Danish
kallar		Swedish
kallblodstravar-		Swedish
kallierg-	kallierg.	Greek,Modern (1453- )
kalligraphia	kalligr.	Dutch
kallisteia	kallist.	Greek,Modern (1453- )
kallitehn-	kalliteh.	Greek,Modern (1453- )
kållpublikation-	kållpubl.	Swedish
Kalmar		Swedish
Kalmyck-		Russian
Kalocsa		Hungarian
kalokair-	kalokair.	Greek,Modern (1453- )
kalopsis		Greek,Modern (1453- )
Kaltblutpferd		German
Kälteausrüstung-	Kälteausrüst.	German
Kältetagung-	Kältetag.	German
kältetechni-	kältetech.	German
Kaltmassivumformung	Kaltmassivumform.	German
Kaltwalzausschuss	Kaltwalzaussch.	German
Kalumn-	Kalumn.	Greek,Modern (1453- )
kalužskij	kaluž.	Russian
kalvarijos	kalvar.	Lithuanian
kálvini-	kálvin.	Hungarian
kalvínsk-	kalvín.	Slovak
Kalvsvik		Swedish
kamarakiállítás	kamarakiáll.	Hungarian
kamate		Croatian
kambelovski	kambel.	Croatian
Kambodscha		German
kambodschanisch	kambodschan.	German
Kamčatk-	Kamčatk.	Russian
kamen		Serbian
kamenica	kamen.	Serbian
kamenn-	kamen.	Russian
kamenougolʹn-	kamenougolʹn.	Russian
kamer		Dutch
Kameramann		German
kameras		Latvian
kamerkrant		Dutch
kamerplant		Dutch
Kamerun		German
kamieńsk-	kamień.	Polish
Kaminiōn	Kamin.	Greek,Modern (1453- )
Kaminkehrer	Kaminkehr.	German
Kamloops		English
kammarrätt		Swedish
Kammer	Kamm.	German
Kämmerer	Kämm.	German
kamnišk-	kamniš.	Serbian
kamp-		Swedish
Kampagne		German
Kampala		English
kampeerauto		Dutch
kampeersport	kampeersp.	Dutch
Kampen		Dutch
kämpfen	kämpf.	German
Kämpfer	Kämpf.	German
Kampftruppe		German
kampsport		Norwegian
Kampuchea	Kampuch.	Multiple Languages
kampus		Indonesian
kampvechter		Dutch
kamrat		Swedish
kamratförbund-	kamratförb.	Swedish
kanaaltje		Dutch
Kanada	Kan.	Russian
kanadischer	kan.	German
Kanadskoj	Kan.	Russian
kanakoirakerho		Finnish
kanaky		English
kanal		Swedish
Kanalisation	Kanalis.	German
kanalizac-	kanaliz.	Russian
Kananaskis		English
kanarie		Danish
kanat		Russian
Kanata		English
kanava		Finnish
Kanawake		English
kancel-	kancel.	Czech
kancelář-	kancel.	Czech
kancelaria	kancel.	Polish
kancerogen-	kancerog.	Russian
kandalahsk-	kandalah.	Russian
Kandern		German
kandidaatti		Finnish
kandidaattiseura	kandidaattis.	Finnish
kandidatskij		Russian
kandidaturen		Dutch
kandungan	kandung.	Malay
kandydat	kandyd.	Polish
kanfanarski	kanfanar.	Croatian
Kangaroo		English
kaninavl		Norwegian
Kaninchen		German
kankaanpää-		Finnish
kanker		Dutch
kankerbulletin	kankerbull.	German
kankercentrum	kankercent.	Dutch
kankeronderzoek	kankeronderz.	Dutch
kankerpatient		Dutch
kankerregistratie	kankerregist.	Dutch
kannattaja	kannatt.	Finnish
kannattavuustutkimus	kannattavuustutk.	Finnish
kannunvalajien		Finnish
Kanon-	Kanon.	German
kanoniczny	kanon.	Polish
kanonismos	kanon.	Greek,Modern (1453- )
kanonitisch-	kanon.	German
kanoture		Danish
kanpo-		Basque
kansa		Finnish
kansainvälinen	kansainväl.	Finnish
kansalainen	kansal.	Finnish
kansalais	kansal.	Finnish
kansalli-	kansall.	Finnish
kansaneläkelaitos	kansaneläkel.	Finnish
kansankorkeak-	kansankorkeak.	Swedish
kansanmusiikki-	kansanmusiikk.	Finnish
kansanopisto	kansanop.	Finnish
kansanperin-	kansanper.	Finnish
kansantaloud-	kansantal.	Finnish
kansanterveys	kansanterv.	Finnish
Kansas	Kans.	English
kansatietellinen	kansatiet.	Finnish
kanslia		Finnish
kansspel		Dutch
kanteleliito	kantelel.	Finnish
kantiek-		Dutch
Kantine		German
Kantinenwesen	Kantinenwes.	German
Kanton		German
kantonal-	kanton.	German
kantoor	kant.	Dutch
kantoormachine	kantoormach.	Dutch
kantoormarkt		Dutch
kantor	kant.	Dutch
kanzel-	kanz.	German
Kanzlei	Kanzl.	German
kapacitás	kapac.	Hungarian
kapacitet	kapac.	Croatian
kapcsol	kapcs.	Hungarian
kapelin-	kape.	Greek,Modern (1453- )
Kapelle		Dutch
Kapellen		Dutch
kapetan	kapet.	Slovenian
kąpieliskach	kąpiel.	Polish
kapina		Finnish
Kapitaal	Kap.	Dutch
kapitaalgoederenvooraad	kapitaalgoederenvoor.	Dutch
kapital-	kap.	Russian
kapłańsk-	kapł.	Polish
kapljice	kaplj.	Slovenian
kapnempor-	kapnempor.	Greek,Modern (1453- )
kapnik-	kapn.	Greek,Modern (1453- )
kapnos		Greek,Modern (1453- )
Kapodistr-	Kapodistr.	Greek,Modern (1453- )
Kaposvár	Kvár.	Hungarian
Kapper		Dutch
kappersbedrijf	kappersbedr.	Dutch
kapsejlads	kapsejl.	Danish
kapsel		Dutch
Kapselherstellung-	Kapselherstell.	German
kapucin-	kapucin.	Croatian
karacaevo-čerkesskij	karac.-čerkes.	Russian
Karachi		English
karadagsʹk-	karadag.	Ukrainian
karadagsk-	karadag.	Russian
Karadeniz		Turkish
karagandinsk-	karagand.	Russian
karakalpaksk-	karakalp.	Russian
karakter	karakter.	Croatian,Dutch
karakulevodstv-	karakulevod.	Russian
karakumsk-	karakum.	Russian
karameïk-		Greek,Modern (1453- )
karangan	karang.	Indonesian
karantin		Russian
karaözü		Turkish
Karapiper-	Karapiper.	Greek,Modern (1453- )
Karasjok		Norwegian
karate		Multiple Languages
karavaan		Dutch
karbantartás	karbantart.	Hungarian
Kardeljevo	Kardelj.	Serbian
kardeş		Turkish
kardia-	kard.	Greek,Modern (1453- )
kardioaggeiak-	kardioagg.	Greek,Modern (1453- )
Kardiochirurgie	Kardiochir.	German
kardiológ-	kardiol.	Hungarian
Kardioprotekti-	Kardioprot.	German
kardiovaskular	kardiovask.	Indonesian
kardiovaszkuláris	kardiovaszk.	Hungarian
kardispord-		Estonian
Karditsa		Greek,Modern (1453- )
karditsiot-	kardits.	Greek,Modern (1453- )
kardiyoloji	kardiyol.	Turkish
karelʹsk-	karel.	Russian
Karfeldt		Swedish
karibsk-	karib.	Russian
kariem		Dutch
kariera		Greek,Modern (1453- )
kariern-	karier.	Bulgarian
karikatür	karik.	Turkish
karitas		Slovenian
kariye		Turkish
Karjaa		Finnish
karjal-	karjal.	Finnish
karjer-	karjer.	Lithuanian
karkabitsas		Greek,Modern (1453- )
karkinos	kark.	Greek,Modern (1453- )
karkirurgi	karkir.	Norwegian
karkonoskie	karkon.	Polish
karlov-	karlov.	Croatian,Czech
Karlsfeld	Karlsf.	German
Karlshafen	Karlshaf.	German
Karlskog-		Swedish
Karlskrona		Swedish
Karlsøy		Norwegian
Karlsruhe	Karlsr.	German
Karlstad		Swedish
Karlstadt	Karlst.	German
karmel-	karmel.	Czech
kármelita	kármel.	Hungarian
Karmøy		Norwegian
Karmsund		Norwegian
Karnataka		English
kärnavfall		Swedish
kärnavfallsområd-	kärnavfallsomr.	Swedish
kärnbränsle		Swedish
kärnbransleförsörjning	kärnbransleförsörj.	Swedish
kärnenergi		Swedish
Karneval		German
karneval-	karneval.	Croatian
Karnin-	Karnin.	German
kärnkraft	kärnkr.	Swedish
Kärnten		German
kärnvapen		Swedish
karny	kar.	Polish
Karolinger	Karol.	German
Karolinska		Swedish
Karolinus	Karol.	Latin
káros-	káros.	Hungarian
Karosserie	Kaross.	German
karpacki	karp.	Polish
Karpát	Karp.	Slovak
Kárpát-	Kárp.	Hungarian
Kárpátalja	Kárpalja.	Hungarian
Karpaten	Karpat.	German
Karpath-	Karpath.	Greek,Modern (1453- )
karpatský	karpat.	Slovak
Karpaty	Karp.	Polish
Karriere		German
Karrierehandbuch	Karrierehandb.	German
karsaz		Kurdish
karšinsk-	karš.	Russian
Karslund		Swedish
Karst		German
karsta		Croatian
Karsthydrolog-	Karsthydrol.	German
Karstmuseum	Karstmus.	German
karstologie	karstol.	French
karstoveden-	karstoved.	Russian
karsykd-	karsykd.	Norwegian
kartblad	kartbl.	Swedish
Karte	Kt.	German
Kartei		German
Karteiform		German
kartelina	kartel.	Greek,Modern (1453- )
kartellnämn		Swedish
Kartellrecht	Kartellr.	German
Kartierung	Kart.	German
karting		English
kartink-	kartin.	Latvian
kartk-	kart.	Polish
kartof-	kartof.	Bulgarian,Russian
kartofelʹn-	kartofelʹn.	Russian
Kartoffel	Kartoff.	German
Kartoffeln	Kartoff.	German
Kartoflex		Dutch
kartograf-	kartogr.	Russian
kartográfia	kartogr.	Hungarian
Kartographie	Kartogr.	German
kartographisch	kartogr.	German
kartol-	kartol.	Croatian
karton		Russian
Kartonage	Karton.	German
kartonnage	karton.	Dutch
kartoplâ		Ukrainian
kartor		Swedish
kartoték	kartot.	Hungarian
kartoteka	kartot.	Polish
kartt-		Finnish
karttapaine	karttap.	Finnish
kartverk		Norwegian
kārums		Latvian
Karussell		German
karvinsk-	karvin.	Czech
karya		Indonesian
karyopatholog-	karyopathol.	German
Karzinom		German
Kasachstan	Kasachst.	German
Kasaner	Kasan.	German
kasar-		Finnish
kasaški	kasa.	Slovenian
Käserei	Käs.	German
Kashim		Multiple Languages
Kashmir		English
käsikirja	käsik.	Finnish
kasiotikos	kasiot.	Greek,Modern (1453- )
käsiraamat	käsiraam.	Estonian
käsittelev-	käsit.	Finnish
käsityö		Finnish
käsityökerho		Finnish
käsivoima		Finnish
kasmet-	kasmet.	Lithuanian
Kašperské		Czech
kaspijsk-	kasp.	Russian
kasprowiczowsk-	kasprow.	Polish
kasrozen		Dutch
kasse		Danish
Kassel-	Kassel.	German
Kassenarzt		German
Kassenergebnis	Kassenergeb.	German
Kassenmässig	Kassenmäss.	German
kassett-		Swedish
kassetteband	kassettebd.	German
kastam	kast.	Malay
Kastania	Kastan.	Greek,Modern (1453- )
kastavski	kastav.	Croatian
kasteel		Dutch
Kasteelenstichting	Kasteelensticht.	Dutch
kaštelansk-	kaštel.	Croatian
kastelenbeheer		Dutch
Kastelenstichting	Kastelensticht.	Dutch
kastélymúzeum	kastélymúz.	Hungarian
Kastoria	Kastor.	Greek,Modern (1453- )
Kastrina	Kastr.	Greek,Modern (1453- )
Kasuistik-	Kasuist.	German
kasutam-	kasut.	Estonian
kasvattaja	kasv.	Finnish
kasvatus	kasv.	Finnish
kasvintautie-		Finnish
kasvintuhooj-		Finnish
Kasvitauti		Finnish
kasvitiet-	kasvit.	Finnish
kaszuboznawc-	kaszubozn.	Polish
katahnia-		Greek,Modern (1453- )
katakomb-		Dutch
kataktētēs	katakt.	Greek,Modern (1453- )
katalanist-	katalan.	German
Katalanistik	Katalan.	German
katalit-	katal.	Russian
kataliz-	katal.	Russian
katallag-	katall.	Greek,Modern (1453- )
Katalog-	Kat.	German,Greek,Latvian,Modern (1453- ),Russian
katalógus	kat.	Hungarian
katalóguscsalád	katcsal.	Hungarian
katalógussorozat	katsor.	Hungarian
katalum-		Greek,Modern (1453- )
Katalyse	Katal.	German
katampra		Greek,Modern (1453- )
katanalōt-	katanal.	Greek,Modern (1453- )
Katanga		French
katapol-	katapol.	Greek,Modern (1453- )
Katar		German
kataraktalʹn-	katarakt.	Russian
katart-	katart.	Greek,Modern (1453- )
kataskeuast-	kataskeu.	Greek,Modern (1453- )
katastaltik-	katastalt.	Greek,Modern (1453- )
katastas-	katastas.	Greek,Modern (1453- )
katastēm-	katastēm.	Greek,Modern (1453- )
Kataster	Katast.	German
Katasterverwaltung	Katasterverwalt.	German
katastra	katast.	Slovak
katastráln-	katastrál.	Czech
katastrof-	katastr.	Swedish
Katastrophe	Katastr.	German
katasztrófa	katasztr.	Hungarian
katathes-	katath.	Greek,Modern (1453- )
katechese	katech.	Dutch
Katechet-	Katech.	German
katechetyczn-	katech.	Polish
katechumenat	katechum.	Polish
katedr-		English
katedra	kated.	Polish
kategor-	kateg.	Polish
katehe-	kateh.	Croatian
kateket	katek.	Danish
Katerinoslavsʹk	Katerinosl.	Ukrainian
katern		Dutch
katernen		Dutch
kathēgēt-	kathēg.	Greek,Modern (1453- )
kathēmer-	kathēmer.	Greek,Modern (1453- )
Kathmandu		English
kathodisch-	kathod.	German
katholi-	kathol.	German
kathrept-	kathr.	Greek,Modern (1453- )
kätket-	kätk.	Finnish
katkon		Finnish
katodn-	katodn.	Russian
katoen	katoen	Dutch
katoh-	katoh.	Greek,Modern (1453- )
katoik-	katoik.	Greek,Modern (1453- )
katolick-	katol.	Polish
katolikus	katol.	Hungarian
katolsk	katol.	Swedish
katoļu		Latvian
katona	ktn.	Hungarian
katonaorvos	ktnorv.	Hungarian
katonapolitika	ktnpolit.	Hungarian
katoptron		Greek,Modern (1453- )
Katowice	Katow.	Polish
katowicki	katow.	Polish
Katrineholm	Katrineh.	Swedish
katsaus	kats.	Finnish
katsetam-	katset.	Estonian
Kattegat		Swedish
kattjournalen	kattj.	Swedish
katyński	katyń.	Polish
Katze		German
katʿedr-	katʿedr.	Georgian
kaubamärgileht	kaubamärgil.	Estonian
kaubandus	kaub.	Estonian
kaucuk-	kauc.	Czech
kaučuk-	kauč.	Russian
Kaufbeuren-	Kaufbeur.	German
kaufen	kauf.	German
Käuferland		German
Kaufleute		German
Kaufmännisch	Kaufmänn.	German
Kaufpreis	Kaufpr.	German
Kaufungen	Kaufung.	German
Kaufwert		German
kauja		Latvian
kaunassk-	kaunas.	Russian
kauneimat		Finnish
kauneus	kaun.	Finnish
kaupang		Norwegian
kauppahintatilasto	kauppahintatil.	Finnish
kauppakamari	kauppakam.	Finnish
kauppakorkeakoulu	kauppakorkeak.	Finnish
kauppala		Finnish
kauppalehti	kauppal.	Finnish
kauppaopettaja	kauppaopet.	Finnish
kauppaosasto	kauppaos.	Finnish
kauppias	kaupp.	Finnish
kaupunki	kaup.	Finnish
kauses		Greek,Modern (1453- )
kausijulkaisu-	kausijulk.	Finnish
Kautschuk-	Kautsch.	German
Kavadar-	Kavadar.	Croatian
Kavallerist		German
kavicsipar	kavicsip.	Hungarian
Kavkasii	Kavk.	Georgian
kavkaz-	kavk.	Russian
Kavlinge		Swedish
kawalerii		Polish
kawan		Malay
Kawartha		English
kawasan	kaw.	Malay
kayak-	kayak.	English
kayaker	kayak.	English
kayaking	kayak.	English
kayangan		Malay
käytäntö	käyt.	Finnish
käyttäja	käytt.	Finnish
käyttäytymistiet-	käyttäytymistiet.	Finnish
kazah-	kaz.	Russian
Kazakstan	Kaz.	Kazakh
kazališ-	kazal.	Croatian
kazalnik-	kazal.	Serbian
kázáni	káz.	Czech
Kazanma	kazan.	Turkish
kazansk-	kazan.	Russian
každ-	každ.	Czech
Kazincbarcika	Kbarcika.	Hungarian
kazıları	kazı.	Turkish
kazn-	kazn.	Croatian
keadaan	keada.	Indonesian
keairan	keair.	Indonesian
kebangsaan	kebangs.	Malay
kebijakan	kebijak.	Indonesian
kebudayaan	kebud.	Indonesian
kecamatan	kec.	Indonesian
kecemerlangan	kecemerl.	Malay
kecil		Indonesian
Kedah		Malay
kediaman	kediam.	Malay
kedirgantaraan	kedirgant.	Indonesian
kedokteran	kedokt.	Indonesian
Ke̢dzierzyńsko-Kozielskie	Ke̢dzierz.-Koziel.	Polish
keelestatist-	keelestat.	Estonian
Keeleyside		English
keemia	keem.	Estonian
keeper	keep.	English
keeping	keep.	English
keerkring		Dutch
keerpunt		Dutch
