AAS Photo Bulletin	AASPB
Iasi Institutul Politehnic Buletinul Sectia Matematica Mecanica Teoretica Fizica	BSMMT
Iasi Institutul Politehnic Buletinul Sectia Mecanica Tehnica	BSMT
IBM Journal Research Development	IBMJ
ICAO Bulletin	ICAOB
Icarus	Icar
IEE Journal of Microwaves Optics and Acoustics	JMOA
IEE Journal of Solid-State Electron Devices	JSSED
IEE Proceedings B: Electric Power Applications	IPEPA
IEE Proceedings C: Generation Transmission Distribution	IPGTD
IEE Proceedings: Communications Speech and Vision	IPCSV
IEE Proceedings D: Control Theory Applications	IPCTA
IEE Proceedings E: Computers and Digital Techniques	IPCDT
IEE Proceedings F: Communications and Radar Processing	IPCRP
IEE Proceedings F: Communications Radar and Signal Processing	IPCRS
IEE Proceedings F: Radar and Signal Processing	IPRSP
IEE Proceedings H: Microwaves Antennas and Propagation	IPMAP
IEE Proceedings H: Microwaves Optics and Antennas	IPMOA
IEE Proceedings J: Optoelectronics	IPOpt
IEE Proceedings: Physical Science Measurement and Instrumentation Management and Education Reviews	IPPSM
IEE Proceedings: Solid-State Electron Devices	IPSSE
IEE Reviews	IEERv
IEEE Aerospace Electronic Systems Magazine	IAESM
IEEE Antennas Propagation Magazine	IAPM
IEEE ASSP Magazine	IASSP
IEEE Circuits Systems Magazine	ICiSM
IEEE Communications Magazine	IComM
IEEE Computer Graphics Applications	ICGA
IEEE Computer Systems Magazine	ICSM
IEEE Design Test Computers	IDTC
IEEE Electron Device Letters	IEDL
IEEE Expert	IExp
IEEE Journal of Lightwave Technology	IJLT
IEEE Journal of Oceanic Engineering	IJOE
IEEE Journal of Quantum Electronics	IJQE
IEEE Journal of Robotics Automation	IJRA
IEEE Journal of Solid-State Circuits	IJSSC
IEEE Journal on Selected Areas in Communications	IJSAC
IEEE LCS Magazine	ILCSM
IEEE LTS	ILTS
IEEE Microwave and Guided Wave Letters	IMGWL
IEEE Network	IEEEN
IEEE Photonics Technology Letters	IPTL
IEEE Proceedings	IEEEP
IEEE Signal Processing Letters	ISPL
IEEE Signal Processing Magazine	ISPM
IEEE Spectrum	IEEES
IEEE Transactions on Acoustics Speech and Signal Processing	ITASS
IEEE Transactions on Aerospace Electronic Systems	ITAES
IEEE Transactions on Antennas and Propagation	ITAP
IEEE Transactions on Applied Superconductivity	ITAS
IEEE Transactions on Automatic Control	ITAC
IEEE Transactions on Biomedical Engineering	ITBE
IEEE Transactions on Broadcasting	ITB
IEEE Transactions on Circuits Systems	ITCS
IEEE Transactions on Communications	ITCom
IEEE Transactions on Components Hybrids and Manufacturing Technology	ITCHM
IEEE Transactions on Computer Aided Design	ITCAD
IEEE Transactions on Computers	ITCmp
IEEE Transactions on Dielectrics and Electrical Insulation	ITDEI
IEEE Transactions on Education	ITEdu
IEEE Transactions on Electrical Insulation	ITEI
IEEE Transactions on Electromagnetic Compatibility	ITElC
IEEE Transactions on Electronic Devices	ITED
IEEE Transactions on Energy Conversion	ITEnC
IEEE Transactions on Engineering Management	ITEM
IEEE Transactions on Geoscience and Remote Sensing	ITGRS
IEEE Transactions on Geoscience Electronics	ITGE
IEEE Transactions on Image Processing	ITIP
IEEE Transactions on Industrial Electronics	ITIE
IEEE Transactions on Industrial Electronics and Control Instrumentation	ITIEC
IEEE Transactions on Industry Applications	ITIA
IEEE Transactions on Information Theory	ITIT
IEEE Transactions on Instrumentation Measurement	ITIM
IEEE Transactions on Magnetics	ITM
IEEE Transactions on Medical Imaging	ITMI
IEEE Transactions on Microwave Theory Techniques	ITMTT
IEEE Transactions on Neural Networks	ITNN
IEEE Transactions on Nuclear Science	ITNS
IEEE Transactions on Parts Hybrids and Packaging	ITPHP
IEEE Transactions on Pattern Analysis and Machine Intelligence	ITPAM
IEEE Transactions on Plasma Science	ITPS
IEEE Transactions on Power Apparatus Systems	ITPAS
IEEE Transactions on Power Delivery	ITPD
IEEE Transactions on Power Electronics	ITPE
IEEE Transactions on Reliability	ITR
IEEE Transactions on Robotics Automation	ITRA
IEEE Transactions on Selected Topics in Quantum Electronics	ITSTQ
IEEE Transactions on Semiconduct M	ITSM
IEEE Transactions on Signal Processing	ITSP
IEEE Transactions on Software Engineering	ITSE
IEEE Transactions on Sonics Ultrasonics	ITSU
IEEE Transactions on Systems Man and Cybernetics	ITSMC
IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control	ITUFF
IEEE Transactions on Vehicular Technology	ITVT
IEICE Transactions E	IEICE
IES Journal	IESJ
IMA Journal of Applied Mathematics	JApMa
IMA Journal of Numerical Analysis	IJNA
IME Proceedings. Part A: Journal of Power and Energy	IMEPA
IME Proceedings. Part B: Journal of Engineering Manufacture	IMEPB
IME Proceedings. Part C: Journal of Mechanical Engineering Science	IMEPC
IME Proceedings. Part D: Journal of Automobile Engineering	IMEPD
IME Proceedings. Part E: Journal of Process Mechanical Engineering	IMEPE
IME Proceedings. Part G: Journal of Aerospace Engineering	IMEPG
IME Proceedings. Part H: Journal of Engineering in Medicine	IMEPH
IME Proceedings. Part I: Journal of Systems and Control Engineering	IMEPI
IME Proceedings. Part K: Journal of Multibody Dynamics	IMEPK
Impact of Computing in Science and Engineering	ICSE
Indian Academy of Science Aryabhata Proj	IASAP
Indian Academy of Sciences Proceedings: Earth and Planetary Sciences	InEPS
Indian Academy of Sciences Proceedings Mathematical Sciences	InMS
Indian Academy of Sciences Proceedings Section	InASP
Indian Academy of Sciences Proceedings: Section C Engineering Sciences	InES
Indian Institute of Astrophysics Newsletter	IIApN
Indian Institute of Science Journal	InISJ
Indian Institute of Science Journal of Aeronomical Society of India	InISA
Indian Institute of Science Space Science Technology Applications: An Overview	InSST
Indian Institute of Technology Journal on Section Engineering Technology	ITJSE
Indian Journal of Aerospace Engineering Division	InJAE
Indian Journal of Biochemistry and Biophysics	InJBB
Indian Journal of Electronics Telecommunication Engineering Division	InJET
Indian Journal of Mechanical Engineering Division	InJME
Indian Journal of Meteorology Hydrology and Geophysics	IJMHG
Indian Journal of Physics and Proceedings of the Indian Assocatiation for the Cultivation of Science	InJP
Indian Journal of Physics Section A	InJPA
Indian Journal of Physics Section B	InJPB
Indian Journal of Physics Section B B	InJPS
Indian Journal of Pure and Applied Physics	IJPAP
Indian Journal of Radio and Space Physics	IJRSP
Indian Journal of Theoretical Physics	InJTP
Indian National Science Academy Proceedings Supplement	INSAP
Indiana University Mathematics Journal	IUMJ
Infinite Dimensional Analysis, Quantum Probability and Related Topics	IDAQP
Information and Computation	InCo
Information Control	InfCo
Information Display	InfD
Information Processing and Management	IPM
Informational Bulletin of the Southern Hemisphere	IBSH
Informational Bulletin on Variable Stars	IBVS
Infrared Astronomy	IRA
Infrared Physics	InfPh
Infrared Physics and Technology	InPhT
Ingegneria	Ingeg
Ingenieria Aeronautica y Astronautica	IA&A
Ingenieur Archiv	IngAr
Inorganic Chemistry	InCh
Institut d'Astronomie de Lausanne	IAL1K
Institut Royal Meteorologique de Belgique Publications Serie	IRMBP
Institut Teoreticheskoi Astronomii Biulleten	ITAB
Institut Teoreticheskoi Astronomii Trudy	TrITA
Institute Fuel Journal	InFuJ
Institute of Electronics Communication Engineers of Japan Transactions Section E English	JIECE
Institute of Physics Academia Sinica Annual Report	IPASA
Institute of Theoretical Astrophysics Blindern Oslo Reports	OslR
Institution Engineers Australia Electrical Engineering Transactions	IEAEE
Institution of Electrical Engineers Proceedings	IEEP
Institution of Electronic Radio Engineers Journal	IEREJ
Institution of Electronics Telecommunication Engineers	IETE
Instituto de Astronomia y Fisica del Espacio Buenos Aires	IAFET
Instituto de Tonantzintla Boletin	IToBu
Instituto Venezolano de Astronomia Merida Venezuela	MerRe
Instruments and Experimental Techniques	IET
Instytut Lotnictwa Prace	InLoP
Instytut Maszyn Przeplywowych	InMP
Instytut Maszyn Przeplywowych Prace	InMPP
Inta Conie	IntaC
Integral Transforms and Special Functions	ITSF
Integrated Computer-Aided Engineering	ICAE
Integrated Ferroelectrics	InFer
Interavia	Inter
Interavia Space Markets	IntSM
An Interdisciplinary Journal of Physical and Engineering Sciences	ARIJ
Interdisciplinary Science Reviews	ISRv
Interfaces and Free Boundaries	IFB
INTERKOSMOS Prague Astronomicky Ustav Ceskoslovenske Akademie Ved	IPAUC
International Advances in Nondestructive Testing	IANT
International Amateur-Professional Photoelectric Photometry Communications	IAPPP
International Astronomical Union Circular	IAUC
International Communications in Heat and Mass Transfer	ICHMT
International Conference Infrared Physics Zurich Switzerland	IrPh
International Geophysics Series	InGeo
International Journal for Computational Methods in Engineering Science and Mechanics	IJCEM
International Journal for Numerical and Analytical Methods in Geomechanics	IJNAM
International Journal for Numerical Methods in Engineering	IJNME
International Journal for Numerical Methods in Fluids	IJNMF
International Journal for Radiation Physics and Chemistry	IJRPC
International Journal of Adaptive Control and Signal Processing	IJACS
International Journal of Adhesion Adhesives	IJAA
International Journal of Analytical and Experimental Modal Analysis	IJAEM
International Journal of Applied Earth Observation and Geoinformation	IJAEO
International Journal of Applied Electromagnetics and Mechanics	IJApE
International Journal of Astrobiology	IJAsB
International Journal of Aviation Psychology	IJAP
International Journal of Bifurcation and Chaos	IJBC
International Journal of Biometeorology	IJBm
International Journal of Climatology	IJCli
International Journal of Computational Engineering Science	IJCES
International Journal of Computational Fluid Dynamics	IJCFD
International Journal of Computer Mathematics Section B	IJCMS
International Journal of Computer Vision	IJCV
International Journal of Control	IJC
International Journal of Damage Mechanics	IJDM
International Journal of Earth Sciences	IJEaS
International Journal of Electronics	IJE
International Journal of Energy Research	IJER
International Journal of Engineering and Fluid Mechanics Spring	IJEFM
International Journal of Engineering Science	IJES
International Journal of Fatigue	IJFa
International Journal of Fracture	IJFr
International Journal of Fusion Energy	IJFE
International Journal of General Systems	IJGS
International Journal of Geomagnetism and Aeronomy	IJGA
International Journal of Heat and Fluid Flow	IJHFF
International Journal of Heat and Mass Transfer	IJHMT
International Journal of High Speed Computing	IJHSC
International Journal of High Speed Electronics and Systems	IJHSE
International Journal of Hybrid Microelectronics Fall	IJHM
International Journal of Hydrogen Energy	IJHE
International Journal of Hyperthermia	IJHy
International Journal of Image and Graphics	IJIG
International Journal of Imaging Systems Technology	IJIST
International Journal of Impact Engineering	IJIE
International Journal of Infrared and Millimeter Waves	IJIMW
International Journal of Intelligent Control and Systems	IJICS
International Journal of Mass Spectrometry and Ion Processes	IJMSI
International Journal of Mathematical Education in Science and Technology	IJMES
International Journal of Mathematics	IJM
International Journal of Mechanical Sciences	IJMS
International Journal of Mini Microcomputers	IJMM
International Journal of Modelling and Simulation	IJMoS
International Journal of Modern Physics A	IJMPA
International Journal of Modern Physics B	IJMPB
International Journal of Modern Physics C	IJMPC
International Journal of Modern Physics D	IJMPD
International Journal of Modern Physics E	IJMPE
International Journal of Multiphase Flow	IJMF
International Journal of Nanoscience	IJN
International Journal of Neural Systems	IJNS
International Journal of Non Linear Mechanics	IJNLM
International Journal of Nonlinear Optical Physics	IJNOP
International Journal of Numerical Methods for Heat & Fluid Flow	IJNMH
International Journal of Oral and Maxillofacial Surgery	IJOMS
International Journal of Photogrammetry and Remote Sensing	IJPRS
International Journal of Physical and Engineering Sciences	IJPES
International Journal of Plasticity	IJP
International Journal of Polymeric Materials	IJPM
International Journal of Population Geography	IJPG
International Journal of Production Research	IJPR
International Journal of Quantum Chemistry	IJQC
International Journal of Radiation Applications and Instrumentation D Nuclear Tracks and Radiation Measurements	IJRAI
International Journal of Radiation Biology	IJRB
International Journal of Reliability, Quality and Safety Engineering	IJRQS
International Journal of Remote Sensing	IJRS
International Journal of Robotics Research	IJRR
International Journal of Satellite Communications	IJSC
International Journal of Science Education	IJSEd
International Journal of Solar Energy	IJSE
International Journal of Solids and Structures	IJSS
International Journal of Structural Stability and Dynamics	IJSSD
International Journal of Supercomputer Applications	IJScA
International Journal of Systems Science	IJSyS
International Journal of Theoretical Physics	IJTP
International Journal of Thermophysics	IJT
International Journal of Turbo Jet Engines	IJTJE
International Materials Reviews	IMRv
International Metals Reviews	IMeRv
International Review of Hydrobiology	IRH
International Review of Nuclear Physics	IRNP
International Reviews in Physical Chemistry	IRPC
International Space Business Review	ISBRv
Internationale Elektronische Rundschau	IER
Interplanetary Network Progress Report	IPNPR
Inventiones Mathematicae	InMat
Inverse Problems	InvPr
Investigations in Geophysics	IGeo
Inzhenerno Fizicheskii Zhurnal	InFiZ
Ionosfernye Issledovaniia	IonIs
Ionosphere	Iono
Iranian Journal of Science Technology	IrJST
Irish Astronomical Journal	IrAJ
Irish Astronomical Journal Supplement	IrAJS
ISA Proceedings	ISAP
ISA Transactions	ISAT
Ishikawajima Harima Engineering Review	IHERv
Isis. Journal of the History of Science Society	Isis
Isotopes in the Physical and Biomedical Sciences	IPBS
Israel Journal of Technology	IsJT
Israel Space Research and Technology Information Bulletin	IsSRT
ISRO Satellite Centre Journal of Spacecraft Technology	ISCJS
Issledovanie Zemli iz Kosmosa	IssZK
Issledovaniia Geomagnetizmu Aeronomii i Fizike Solntsa	IGAFS
Issledovaniia Mekhanike i Teploobmenu Dvukhfaznykh Sred	IsMTD
Issledovaniia Uprugosti i Plastichnosti	IssUP
Issledovaniya Solntsa i Krasnykh Zvezd	ISKZ
Issues in Science and Technology	IST
Istanbul University Faculty of Science Journal of Astronomy Physics	IsJAP
Istanbul University Faculty Science Review Serie C	IsRvC
Istituto Italiano di Navigazione Atti	IINA
ITC Journal	ITCJ
Itogi Nauki i Tekhniki Seriia Astronomiia	INTSA
Itogi Nauki i Tekhniki Seriia Fizika Plazmy	INTSF
Itogi Nauki i Tekhniki Seriia Issledovanie Kosmicheskogo Prostranstva	INTSI
Itogi Nauki i Tekhniki Seriia Meteorologiia i Klimatologiia	INTMK
Itogi Nauki i Tekhniki Seriia Okeanologiia	INTSO
Itogi Nauki i Tekhniki Seriia Radiotekhnika	INTSR
Itogi Nauki i Tekhniki Seriia Sovremennye Problemy Matematiki	INTSS
Itogi Nauki i Tekhniki Seriia Vozdushnyi Transport	INTSV
ITU Telecommunication Journal	ITUTJ
IUE ESA Newsletter	IUEEN
IUE NASA Newsletter	IUENN
Izvestiia Akademii Nauk Seriya Fizicheskaya	IzSF
Izvestiia Glavnoi rossiiskoi astronomicheskoi observatorii	IzGla
Izvestiya Akademii Nauk Turkmenskoj SSR Ashkhabad	IzAsh
Izvestiya Akademiya Nauk Armyanskoi	IzArm
Izvestiya Astrofizicheskogo Instituta Alma-Ata	IzAlm
Izvestiya Astronomicheskoj Engel'gardt obskoj Observatorii Kazan	IzKaz
Izvestiya Atmospheric and Oceanic Physics	IzAOP
Izvestiya Glavnoj Astronomicheskoj Observatorii Kiev	IzKie
Izvestiya Glavnoj Astronomicheskoj Observatorii v Pulkove	IzPul
Izvestiya na Fizicheskiya Institut s Aneb	IzAne
Izvestiya Ordena Trudovogo Krasnogo Znameni Krymskoj Astrofizicheskoj Observatorii	IzKry
Izvestiya Physics of the Solid Earth	IzPSE
Izvestiya VUZ Aviatsionnaya Tekhnika	IzAvT
Izvestiya VUZ Radiofizika	IzRad
Izviestiia Nikolaevskoi glavnoi astronomicheskoi observatorii	IzNic
Jahns Wöchentliche Unterhaltungen Für Dilettanten und Freunde der Astronomie, Georgraphie und Witterungskunde	JWUDF
Jahrbuch der Radioaktivität und Elektronik	JRE
Japan Astronomical Study Association Circulars	JASAC
Japan Institute of Metals Journal	JaIMJ
Japan Society of Aeronautical Space Sciences	JSASS
Japan Society of Aeronautical Space Sciences Journal	JSASJ
Japan Society of Aeronautical Space Sciences Transactions	JSAST
Japan Society of Air Pollution Journal	JSAPJ
Japan Society of Composite Materials Journal	JSCMJ
Japan Society of Lubrication Engineers Journal	JSLEJ
Japan Society of Materials Science Journal	JSMSJ
Japan Society of Promotion Science	JSPS
Japanese Journal of Applied Physics	JaJAP
Japanese Journal of Applied Physics Letters B	JJAPL
Japanese Journal of Applied Physics Regular Papers Short Notes and Review Papers	JJAPR
Japanese Journal of Applied Physics Supplement	JJAPS
JASMA Japan Society of Microgravity Application Journal	JSMAJ
Jemna Mechanika Optika	JMeOp
Jena Review	JenRv
Jodrell Bank Ann Ser Pt	JBASP
Jodrell Bank Annals	JBAn
Jodrell Bank Reprints	JBRe
Johns Hopkins APL Technical Digest	JHATD
JOM	JOM
Journal and Proceedings of the Royal Society of New South Wales	RSNSW
Journal d'Acoustique	JAco
Journal de Chimie Physique	JCP
Journal de Chimie Physique et de Physico-Chimie Biologique	JCPPC
Journal de Mecanique	JMec
Journal de Mecanique Appliquee	JMecA
Journal de Mecanique Theorique et Appliquee	JMecT
Journal de Mecanique Theorique et Appliquee Supplement	JMTAS
Journal de Physique	JPhys
Journal de Physique et le Radium	JPR
Journal de Physique I	JPhy1
Journal de Physique II	JPhy2
Journal de Physique III	JPhy3
Journal de Physique IV	JPhy4
Journal de Physique Lettres	JPhyL
Journal de Recherches Atmospheriques	JReAt
Journal des Astronomes Francais	JAF
Journal des Observateurs	JO
Journal d'Optique	JOp
Journal for the History of Astronomy	JHA
Journal for the History of Astronomy Supplement	JHAS
Journal fur die reine und angewandte Mathematik	JRAM
Journal NIRE	JNIRE
Journal of the Acoustical Society of Japan	JASJa
Journal of the American Association of Variable Star Observers (JAAVSO)	JAVSO
Journal of the American Mathematical Society	JAMS
Journal of the American Society for Information Science and Technology	JASIS
Journal of the American Society of Civil Engineers	JASCE
Journal of the American Water Resources Association	JAWRA
Journal of the Astronomical Society of Egypt	JASEg
Journal of the Astronomical Society of Victoria Melbourne	JASV
Journal of the British Astronomical Association	JBAA
Journal of the British Astronomical Society	JBAS
Journal of the British Interplanetary Society	JBIS
Journal of the Chinese Silicate Society	JCSS
Journal of the Electrochemical Society	JElS
Journal of the Indian Institute of Science Section B Physical and Chemical Series	JIISB
Journal of the Institute of Mathematics and Its Applications	JIMIA
Journal of the Institution of Electronics and Telecommunication Engineers	JIETE
Journal of the London Mathematical Society	JLMS
Journal of the Operational Research Society	JORS
Journal of the Optical Society of America (1917-1983)	JOSA
Journal of the Physics of Condensed Matter	JPCM
Journal of the Royal Aeronautical Society of London	JRASA
Journal of the Royal Astronomical Society of Canada	JRASC
Journal of the Royal Astronomical Society of New Zealand	JRASN
Journal of the Royal College of Surgeons of Edinburgh	JRCSE
Journal of the Royal Statistical Society: Series D (The Statistician)	JRSSD
Journal of the Society for Radiological Protection	JSRP
Journal of the Washington Academy of Sciences	JWasA
Journal of Acoustic Emission	JAE
Journal of Aerosol Science	JAerS
Journal of Aerospace Engineering	JAerE
Journal of Aerospace Power	JAerP
Journal of African Earth Sciences	JAfES
Journal of Agricultural Engineering Research	JAER
The Journal of Agricultural Science	JAS
Journal of Aircraft	JAir
Journal of Algebra	JAlg
Journal of Algebraic Combinatorics	JAlgC
Journal of Algorithms	JAlgo
Journal of Alloys and Compounds	JAllC
Journal of American Ceramic Society	JACS
Journal of Analytical Atomic Spectrometry	JAAS
Journal of Applied Crystallography	JApCr
Journal of Applied Electrochemistry	JApEl
Journal of Applied Geophysics	JAG
Journal of Applied Mechanics and Technical Physics	JAMTP
Journal of Applied Metalworking	JApMw
Journal of Applied Meteorology	JApMe
Journal of Applied Photographic Engineering	JAPE
Journal of Applied Physics	JAP
Journal of Applied Physiology	JAPh
Journal of Applied Science and Engineering Section on Electrical Power and Information Systems	JASE
Journal of Applied Spectroscopy	JApSp
Journal of Applied Statistics	JApS
Journal of Approximation Theory	JApT
Journal of Asian Earth Sciences	JAESc
Journal of Astronautical Sciences	JAnSc
Journal of Astronomical Data	JAD
Journal of Astronomical History and Heritage	JAHH
Journal of Astronomy and Space Sciences	JASS
Journal of Astrophysics and Astronomy	JApA
Journal of Astrophysics and Astronomy Supplement	JApAS
Journal of Atmospheric and Oceanic Technology	JAtOT
Journal of Atmospheric and Terrestrial Physics	JATP
Journal of Atmospheric Chemistry	JAtC
Journal of Atmospheric Sciences	JAtS
Journal of Audio Engineering Society	JAES
Journal of Australian Geology and Geophysics	JAuGG
Journal of Automated Reasoning	JAuR
Journal of Ballistics	JBall
Journal of Biochemical and Biophysical Methods	JBBM
Journal of Bioenergetics and Biomembranes	JBB
Journal of Biological Physics	JBP
Journal of Biomechanics	JBiom
Journal of Biomedical Optics	JBO
Journal of Biomolecular NMR	JBNMR
Journal of Biophysical and Biochemical Cytology	JBBC
Journal of Biophysique et de Biomecanique	JBiBi
Journal of Biophysique et Medecine Nucleaire	JBMN
Journal of Catalysis	JCat
Journal of Chemical Education	JChEd
Journal of Chemical Physics	JChPh
The Journal of Chemical Thermodynamics	JChTh
Journal of Chromatographic Science	JChS
Journal of Chromatography	JCh
Journal of Circuits, Systems and Computers	JCSC
Journal of Climate	JCli
Journal of Climate and Applied Meteorology	JCAM
Journal of Climatology	JClim
Journal of Clinical Pharmacology	JClP
Journal of Cluster Science	JCS
Journal of College Science Teaching	JCScT
Journal of Colloid and Interface Science	JCIS
Journal of Combinatorial Theory, Series A	JCTA
Journal of Combinatorial Theory, Series B	JCTB
Journal of Communications	JCom
Journal of Complexity	JComp
Journal of Composite Materials	JCoMa
Journal of Composites and Technology Research	JCTR
Journal of Computational Acoustics	JCA
Journal of Computational and Applied Mathematics	JCoAM
Journal of Computational Biology	JCoB
Journal of Computational Chemistry	JCoCh
Journal of Computational Mathematics	JCM
Journal of Computational Neuroscience	JCoN
Journal of Computational Physics	JCoPh
Journal of Computer and System Sciences	JCoSS
Journal of Computer-Aided Materials Design	JCAMD
Journal of Cosmology and Astro-Particle Physics	JCAP
Journal of Crystal Growth	JCrGr
Journal of Dairy Research	JDR
Journal of Differential Equations	JDE
Journal of Digital Information	JoDI
Journal of Dispersion Science and Technology	JDST
Journal of Double Star Observations	JDSO
Journal of Dynamical and Control Systems	JDCS
Journal of Dynamics and Differential Equations	JDDE
Journal of Elasticity	JElas
Journal of Electrical and Electronics Engineering Australia	JEEEA
Journal of Electroceramics	JElec
Journal of Electromagnetic Waves and Applications	JEWA
Journal of Electron Microscopy Technique	JEMT
Journal of Electron Spectroscopy and Related Phenomena	JESRP
Journal of Electronic Circuits and Systems	JECS
Journal of Electronic Imaging	JEI
Journal of Electronic Materials	JEMat
Journal of Electronics Manufacturing	JElM
Journal of Energy	JEner
Journal of Engineering and Applied Sciences	JEAS
Journal of Engineering and Mathematics	JEnMa
Journal of Engineering and Mechanics	JEngM
Journal of Engineering and Thermophysics	JETh
Journal of Engineering Education Research	JEER
Journal of Engineering Physics	JEP
Journal of Engineering Physics and Thermophysics	JEPT
Journal of Engineering Sciences	JEngS
Journal of Environmental and Economics Management	JEEM
Journal of Environmental Sciences	JEnvS
Journal of Experimental and Theoretical Physics	JETP
Journal of Experimental and Theoretical Physics Letteres	JETPL
Journal of Experimental Botany	JExB
The Journal of Finance	JFin
Journal of Fire Flammability	JFF
Journal of Fluid Control	JFC
Journal of Fluid Mechanics	JFM
Journal of Fluids and Structures	JFS
Journal of Fluorescence	JFlu
Journal of Functional Analysis	JFuA
Journal of Geodesy	JGeod
Journal of Geodynamics	JGeo
Journal of Geographical Systems	JGS
Journal of Geology	JG
Journal of Geomagnetism and Geoelectricity	JGG
Journal of Geomagnetism and Geoelectricity Supplement	JGGS
Journal of Geometry and Physics	JGP
Journal of Geophysical Research	JGR
Journal of Geophysical Research (Atmospheres)	JGRD
Journal of Geophysical Research (Earth Surface)	JGRF
Journal of Geophysical Research (Oceans)	JGRC
Journal of Geophysical Research (Planets)	JGRE
Journal of Geophysical Research (Solid Earth)	JGRB
Journal of Geophysical Research (Space Physics)	JGRA
Journal of Geophysical Research Supplement	JGRS
Journal of Geophysics and Engineering	JGE
Journal of Geophysics Zeitschrift Geophysik	JGZG
Journal of Glaciology	JGlac
Journal of Global Optimization	JGO
Journal of Guidance Control	JGuC
Journal of Guidance Control Dynamics	JGCD
Journal of Heuristics	JHeu
Journal of High Energy and Nuclear Physics	JHENP
Journal of High Energy Physics	JHEP
Journal of High Energy Physics Conference Proceedings	JHEPC
Journal of High Speed Networks	JHSN
Journal of Hydrology	JHyd
Journal of Hydronautics	JHyn
Journal of Imaging Science and Technology	JIST
Journal of Infrared and Millimeter Waves	JIMW
Journal of Integral Equations	JIEq
Journal of Intelligent and Robotic Systems	JIRS
Journal of Intelligent Material Systems and Structures	JIMSS
Journal of Knot Theory and its Ramifications	JKTR
Journal of Korean Astronomical Society	JKAS
Journal of Korean Physical Society	JKPS
Journal of Laboratory and Clinical Medicine	JLCMe
Journal of Laser Applications	JLasA
Journal of Less Common Metals	JLCM
Journal of Light & Visual Environment	JLVEn
Journal of Lightwave Technology	JLwT
Journal of Low Temperature Physics	JLTP
Journal of Luminescence	JLum
Journal of Macromolecular Science, Part B: Physics	JMSB
Journal of Macromolecular Science, Part C: Reviews in Macromolecular Chemistry and Physics	JMSC
Journal of Macromolecular Science Physics	JMmSP
Journal of Macromolecular Science Reviews in Macromolecular Chemistry and Physics	JMmSR
Journal of Magnetic Resonance	JMagR
Journal of Magnetism and Magnetic Materials	JMMM
Journal of Marine Systems	JMS
Journal of Materials and Energy Systems	JMES
Journal of Materials Chemistry	JMCh
Journal of Materials Processing and Manufacturing Science	JMPMS
Journal of Materials Research	JMatR
Journal of Materials Science	JMatS
Journal of Materials Science and Materials Electronics	JMSME
Journal of Materials Science Letters	JMSL
Journal of Materials Science: Materials in Medicine	JMSMM
Journal of Materials Synthesis and Processing	JMSP
Journal of Mathematical Analysis and Applications	JMAA
Journal of Mathematical and Physical Sciences	JMPS
Journal of Mathematical Chemistry	JMaCh
Journal of Mathematical Fluid Mechanics	JMFM
Journal of Mathematical Imaging and Vision	JMIV
Journal of Mathematical Physics	JMP
Journal of Mathematical Psychology	JMPsy
Journal of Mathematical Sciences	JMaSc
Journal of Mathematical Sociology	JMSo
Journal of Mathematics and Physics	JMaPh
Journal of Mechanical and Engineering Science	JMecE
Journal of Mechanical Behavior and Materials	JMBM
Journal of Mechanics Physics and Solids	JMPSo
Journal of Medecine Nucleaire et Biophysique	JMNB
Journal of Medical Engineering & Technology	JME&T
Journal of Metals	JMet
Journal of Microelectromechanical Systems	JMemS
Journal of Microlithography, Microfabrication, and Microsystems	JMM&M
Journal of Micromechanics and Microengineering	JMiMi
Journal of Microscopy	JMic
Journal of Modern Optics	JMOp
Journal of Molecular Biology	JMBio
Journal of Molecular Electronics	JMoEl
Journal of Molecular Evolution	JMolE
Journal of Molecular Spectroscopy	JMoSp
Journal of Molecular Structure	JMoSt
Journal of Multivariate Analysis	JMA
Journal of Nanoparticle Research	JNR
Journal of Navigation	JNav
Journal of Neural Engineering	JNEng
Journal of Neurochemistry	JNeur
Journal of Neuro-Oncology	JNO
Journal of Non Crystalline Solids	JNCS
Journal of Non Equilibrium Thermodynamics	JNET
Journal of Non Linear Mechanics	JNLM
Journal of Nondestructive Evaluation	JNE
Journal of Nonlinear Mathematical Physics	JNMP
Journal of Nonlinear Optical Physics and Materials	JNOPM
Journal of NonLinear Science	JNS
Journal of Nuclear Energy	JNuE
Journal of Nuclear Materials	JNuM
Journal of Number Theory	JNT
Journal of Optical Communications	JOC
Journal of Optical Technology	JOptT
Journal of Optics	JOpt
Journal of Optics A: Pure and Applied Optics	JOptA
Journal of Optics B: Quantum and Semiclassical Optics	JOptB
Journal of Optimization Theory Applications	JOTA
Journal of Oral and Maxillofacial Surgery	JOMS
Journal of Oral Rehabilitation	JOR
Journal of Paleontology	JPal
Journal of Parallel and Distributed Computing	JPDC
Journal of Petrology	JPet
Journal of Photogrammetry and Remote Sensing	JPRS
Journal of Physical and Chemical Reference Data	JPCRD
Journal of Physical and Colloid Chemistry	JPCC
Journal of Physical Chemistry A	JPCA
Journal of Physical Chemistry	JPhCh
Journal of Physical Chemistry B	JPCB
Journal of Physical Oceanography	JPO
Journal of Physics A Mathematical General	JPhA
Journal of Physics and Chemistry of Solids	JPCS
Journal of Physics B Atomic Molecular Physics	JPhB
